voyage_id,file_name,start_time,end_time,duration_h,num_samples,mean_load_kw,max_load_kw,min_load_kw,negative_load_count,missing_value_count,timestamp_gap_count,timestamp_monotonic_increasing,load_identity_max_abs_error_kw,extreme_load_gt_1000kw_count,load_definition,load_scope
voyage_023,4月30日08_00_4月30日15_00.xlsx,2024-04-30T08:00:10,2024-04-30T14:59:40,6.991666666666666,840,277.7176958654762,826.136333,-108.64,100,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_024,5月7日08_00_5月7日18_00.xlsx,2024-05-07T08:00:29,2024-05-07T17:59:29,9.983333333333333,1199,223.81795364053377,859.8098,-109.3763,108,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_025,5月8日08_00_5月8日17_00.xlsx,2024-05-08T08:00:04,2024-05-08T16:59:34,8.991666666666667,1080,188.77479139907408,679.946267,-108.1982,93,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_026,5月9日08_00_5月9日17_00.xlsx,2024-05-09T08:00:07,2024-05-09T16:59:37,8.991666666666667,1080,93.39171115277779,613.169067,-110.386,407,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_027,5月10日08_00_5月10日10_00.xlsx,2024-05-10T08:00:11,2024-05-10T09:59:41,1.9916666666666667,240,68.25752146666666,395.6248,-107.5221,74,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_028,5月11日08_00_5月11日11_00.xlsx,2024-05-11T08:00:16,2024-05-11T10:59:16,2.9833333333333334,359,159.71021373816157,475.434,-107.514667,80,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_029,5月13日08_00_5月13日11_00.xlsx,2024-05-13T08:00:20,2024-05-13T10:59:50,2.9916666666666667,360,111.12857601944444,497.218667,1e-06,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_030,5月14日12_00_5月14日19_00.xlsx,2024-05-14T12:00:23,2024-05-14T18:59:23,6.983333333333333,839,156.26810703337304,603.947433,-121.169433,75,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_031,5月15日08_00_5月15日17_00.xlsx,2024-05-15T08:00:24,2024-05-15T16:59:54,8.991666666666667,1080,159.7229488638889,664.7186,-108.65,212,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_032,5月17日08_00_5月17日18_00.xlsx,2024-05-17T08:00:28,2024-05-17T17:59:58,9.991666666666667,1200,87.34336269583335,646.6682,-46.433733,16,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
