voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_037,train,6,fc_smoothing,0.15,0.15,8.0,50.0,10770,10769,True,10769,0.3725746878615129,0.6429211386723281,-697258.3711135142,-64.74680760641789,20.854700141269824,-57.982790531536345,0.2775135982413701,,,,,,
voyage_038,train,0,candidate_C,0.25,0.4,12.0,20.0,43143,43142,True,43142,0.40715207257381913,0.593085925092667,-398190.6094041174,-9.229767034539831,88.640028857537,-26.885617257822794,0.6716710367913379,,,,,,
voyage_038,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,43143,43142,True,43142,0.2924252690459255,0.37064807691138757,-7378183.602251273,-171.02089848062846,80.62415039522067,111.91560000729598,1.2706296494615685,,,,,,
voyage_038,train,2,balanced,0.25,0.5,20.0,12.0,43143,43142,True,43142,0.46371806914559155,0.5618588156119729,-114549.38265483253,-2.655170892745643,87.285136920136,-7.399900941877249,1.115217403780889,,,,,,
voyage_038,train,3,soc_maintenance,0.2,0.45,28.0,18.0,43143,43142,True,43142,0.45984910044628763,0.5747727714795385,-118512.57050931363,-2.747034687991137,87.95470129808353,-15.458209403234706,1.0988747798064082,,,,,,
voyage_038,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,43143,43142,True,43142,0.4758812804521721,0.5828371886523946,-92285.32594660092,-2.139106345245953,88.22387536912493,-20.490405719091562,1.4689984956149829,,,,,,
voyage_038,train,5,fast_fc_response,0.15,0.8,12.0,1.0,43143,43142,True,43142,0.51338108303184,0.5366039099609319,-58307.513459670554,-1.3515255078501356,86.15991991684803,8.359160184378009,7.37425831456369,,,,,,
voyage_038,train,6,fc_smoothing,0.15,0.15,8.0,50.0,43143,43142,True,43142,0.2639649346387496,0.6798064659446242,-1800992.4550542184,-41.74568761425568,92.25364819754914,-80.99923474944418,0.35894878195819047,,,,,,
voyage_039,train,0,candidate_C,0.25,0.4,12.0,20.0,14371,14370,True,14370,0.46360264590995304,0.5486302183342989,-68037.19777135646,-4.734669295153546,22.855035616408195,0.8547437593980179,0.35474548842509535,,,,,,
voyage_039,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,14371,14370,True,14370,0.3274105209781693,0.36941835033070636,-1841718.3967030428,-128.1641194643732,16.571205797340635,112.68294939364017,0.6862857561915803,,,,,,
