voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,weights,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,failure_decision_index,failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads_kw,solver_status,partial_minimum_soc,partial_last_soc,partial_mean_soc,partial_total_fixed_reward,partial_mean_fixed_reward_per_step,partial_hydrogen_kg,partial_battery_net_energy_kwh,partial_maximum_fc_step_change_kw
voyage_053,validation,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",28772,28771,False,8109,,,,,,,,8109,8110,0.20063299755697106,560.0,"[843.1307985106574,842.522288691725,841.8766154593286,841.1988138541926,840.4939189170418,839.7669656886006]",primal infeasible,0.20063299755697106,0.20063299755697106,0.4531550631136271,-773883.6462371852,-95.43515183588423,50.15636228051156,218.0050095244516,0.7385256610329236
voyage_053,validation,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",28772,28771,False,8312,,,,,,,,8312,8313,0.20058932281709893,560.0000000000001,"[808.7593261506846,810.3638702627859,812.141376906756,814.0740629831547,816.1441453925413,818.3338410354754]",primal infeasible,0.20058932281709893,0.20058932281709893,0.4648893023491413,-723928.6475727048,-87.09439937111463,52.83775082612088,218.0322625621321,0.6292154907031886
voyage_053,validation,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",28772,28771,False,8313,,,,,,,,8313,8314,0.2005958355604639,560.0000000000002,"[810.3638702627859,812.141376906756,814.0740629831547,816.1441453925413,818.3338410354754,820.6253668125164]",primal infeasible,0.2005958355604639,0.2005958355604639,0.46600131170455145,-721838.733715813,-86.83251939321701,52.80041121324249,218.028198610273,0.6200670581991972
voyage_053,validation,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",28772,28771,False,8347,,,,,,,,8347,8348,0.20076160442847044,559.9999999999998,"[854.4219348720302,852.7627585607853,850.9685643974427,849.0565057377233,847.0437359373478,844.9474083520374]",primal infeasible,0.20076160442847044,0.20076160442847044,0.46763273032419556,-712483.0388144255,-85.35797757450887,53.23412452158534,217.92475883663627,0.6902737519612998
voyage_053,validation,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",28772,28771,False,8337,,,,,,,,8337,8338,0.20071024818221506,560.0000000000002,"[859.8605598007846,860.4542373774639,860.7763,860.8147873114793,860.5810299250957,860.0921811965698]",primal infeasible,0.20071024818221506,0.20071024818221506,0.4625889260515422,-724646.4299942377,-86.91932709538656,53.279343300293185,217.95680513430017,0.6070651548845944
voyage_053,validation,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",28772,28771,False,8397,,,,,,,,8397,8398,0.20067336419718898,559.9999999999998,"[833.7664117406083,834.3234595178654,834.7430999999998,835.0164002552997,835.1487107856384,835.148952951287]",primal infeasible,0.20067336419718898,0.20067336419718898,0.4704933536568787,-704143.0762218768,-83.85650544502522,53.86932919459269,217.9798207409568,0.8583021539317599
voyage_054,validation,0,candidate_C,0.25,0.4,12.0,20.0,"[0.25,0.4,12.0,20.0]",28382,28381,False,8782,,,,,,,,8782,8783,0.2005496779845371,560.0000038628573,"[806.5969602801382,807.3688365388334,808.0569352458137,808.6535692203751,809.1510512818131,809.5416942494237]",primal infeasible,0.2005496779845371,0.2005496779845371,0.46897028744289615,-693914.2403129605,-79.01551358608067,26.11000783799478,218.057000937646,0.6654734526109678
voyage_054,validation,1,fast_fc_response,0.25,0.6,12.0,5.0,"[0.25,0.6,12.0,5.0]",28382,28381,False,9435,,,,,,,,9435,9436,0.20052571682835751,560.0,"[776.8465034055673,777.5295399952618,778.228202159206,778.9357111797395,779.6452883392011,780.3501549199301]",primal infeasible,0.20052571682835751,0.20052571682835751,0.4724803564083997,-689501.8177294567,-73.07915397238544,34.39115200749148,218.0719526991033,1.5457287515704934
voyage_054,validation,2,soc_recovery_30,0.15,0.35,30.0,12.0,"[0.15,0.35,30.0,12.0]",28382,28381,False,9457,,,,,,,,9457,9458,0.2005060719593628,560.0000000000001,"[785.6765997981731,785.4441433703032,785.1641313874167,784.8404170521945,784.4768535673179,784.0772941354669]",primal infeasible,0.2005060719593628,0.2005060719593628,0.48114364830675377,-676451.4448031106,-71.52917889426992,34.59438859586514,218.08421109735423,1.168404991003456
voyage_054,validation,3,soc_recovery_40,0.15,0.35,40.0,12.0,"[0.15,0.35,40.0,12.0]",28382,28381,False,9567,,,,,,,,9567,9568,0.2005414363336855,560.0000000000002,"[794.2138048754574,794.8351013516883,795.3922424410249,795.8805,796.2963180668664,796.6408294067583]",primal infeasible,0.2005414363336855,0.2005414363336855,0.482487362838237,-678127.1105656606,-70.88189720556711,35.94911439089486,218.0621437277793,1.2071873846940662
voyage_054,validation,4,soc_recovery_fast,0.15,0.35,30.0,5.0,"[0.15,0.35,30.0,5.0]",28382,28381,False,9724,,,,,,,,9724,9725,0.2005569964666084,559.9999999999998,"[804.7902693720749,804.6920416971811,804.6028196474324,804.5205350389837,804.4431196879902,804.3685054106065]",primal infeasible,0.2005569964666084,0.2005569964666084,0.48340566656604134,-674221.9635086865,-69.33586625963457,37.93848887300831,218.05243420483342,1.3569036122355556
voyage_054,validation,5,soc_recovery,0.15,0.35,20.0,12.0,"[0.15,0.35,20.0,12.0]",28382,28381,False,9330,,,,,,,,9330,9331,0.20053336655281861,560.0000000000002,"[787.5441241659022,786.5744933501853,785.6551534145957,784.7881847716682,783.9739732232534,783.2129045712013]",primal infeasible,0.20053336655281861,0.20053336655281861,0.4788897346589131,-677160.9156748141,-72.57887627811513,32.99745378442596,218.06717927104162,1.0008971451487696
voyage_054,validation,6,strong_soc_recovery,0.1,0.3,40.0,5.0,"[0.1,0.3,40.0,5.0]",28382,28381,False,9800,,,,,,,,9800,9801,0.2006124125685183,559.9999999999998,"[793.5905619764834,794.4974108808797,795.4179752494227,796.3493130245542,797.288482148715,798.2325405643462]",primal infeasible,0.2006124125685183,0.2006124125685183,0.4857324247930068,-671299.7689759531,-68.49997642611767,38.89890407215412,218.0178545572419,1.5039329277214506
