voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_002,train,3,balanced,0.25,0.4,10.0,12.0,7171,7170,True,7170,0.47712302477444213,0.5686980206557775,-66110.65704198541,-9.220454259691131,22.866882431708955,-11.667564889205941,0.4592223892520906,,,,,,solved
voyage_002,train,4,strong_fc_smoothing,0.25,0.25,12.0,30.0,7171,7170,True,7170,0.4387040953831279,0.5409839199210313,-119155.41985564993,-16.618608069128303,22.04324341487849,5.626033969275976,0.3260215970138347,,,,,,solved
voyage_002,train,5,soc_recovery,0.15,0.35,20.0,12.0,7171,7170,True,7170,0.4995888551877152,0.5915123504419878,-26224.81581053011,-3.657575426852177,23.886365307812685,-25.903706675800667,0.8643252086056918,,,,,,solved
voyage_002,train,6,economic_discharge,0.5,0.25,6.0,8.0,7171,7170,True,7170,0.39081183620415777,0.48282484408055615,-421642.58553503087,-58.80649728522049,19.958238274895194,41.917297293733135,0.3776208323579624,,,,,,solved
voyage_003,train,0,candidate_C,0.25,0.4,12.0,20.0,14370,14369,True,14369,0.21601829050082996,0.5554098445273166,-984483.2552468502,-68.51438897952886,53.353885955138345,-3.3757429850472094,0.8307854502991177,,,,,,solved
voyage_003,train,1,fast_fc_response,0.25,0.6,12.0,5.0,14370,14369,True,14369,0.29339493901349334,0.5308980050912607,-445762.62694427447,-31.022522579460954,52.07751597368127,11.919644823054586,1.6799667191882577,,,,,,solved
voyage_003,train,2,medium_response,0.25,0.5,10.0,10.0,14370,14369,True,14369,0.25502876578142686,0.5324813298500224,-673424.2678115383,-46.866467242782264,52.37215984282023,10.931650173585687,1.0146626936654002,,,,,,solved
voyage_003,train,3,balanced,0.25,0.4,10.0,12.0,14370,14369,True,14369,0.23782933463828831,0.5299913021679169,-797283.5300627468,-55.48636161617001,52.45783786681574,12.485427447217136,0.930810869616721,,,,,,solved
voyage_003,train,4,strong_fc_smoothing,0.25,0.25,12.0,30.0,14370,14369,False,5381,,,,,,,,5381,5382,0.20060787194097474,560.0,"[794.7113432844588,794.6409159097789,794.5679492382862,794.4928942443006,794.4162019021398,794.3383231861235]",primal infeasible
voyage_003,train,5,soc_recovery,0.15,0.35,20.0,12.0,14370,14369,True,14369,0.28392826947442334,0.5579029001781759,-488895.8350773612,-34.024346515231485,53.57163187473027,-4.9314097111814155,0.9881363269857957,,,,,,solved
