candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,completed,failure_step,failure_status,steps,hours_executed,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh_h,battery_throughput_kwh_h,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
R7,soc_refined,0.15,0.7,160.0,12.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-12.185936278025407,0.35739653767278623,0.5140200953755364,28.490206886102094,7.070707527634739,105.30415999727447,575.8878436684597,508.82447066247414,0.4415186772810778,77.24726287226179,0.12782228653821903
E0,economy_extreme,0.4,0.25,8.0,8.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-186.96879462326305,0.21386717856065607,0.28320169284890845,30.03979980737197,93.79275699283549,144.94000127780066,326.6552430362259,531.9394408654483,0.7940532081377152,170.64855299240963,0.5553785225903596
E2,economy_moderate,0.4,0.35,20.0,12.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-113.79431706938192,0.26255787600854574,0.3318923902968018,31.050754698215048,76.6755765942522,132.93574742372945,294.32232137220586,549.0566212640316,0.8381846635367762,170.82772742476567,0.37620409023432444
B2,balanced,0.25,0.5,50.0,20.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-78.11713291590104,0.2923958891318107,0.36173040342010176,31.669248220277797,66.18604409344043,127.02071811294142,255.85946989946015,559.5461537648434,0.8741784037558685,171.0518892461905,0.15204226880948113
B4,balanced,0.2,0.5,40.0,16.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-72.66081997546316,0.29756569066725597,0.36690020495553277,31.773950298497017,64.36860400436512,125.27531381430705,253.7036489511465,561.3635938539187,0.8760563380281691,171.05196449228606,0.15196702271393292
S1,smooth,0.25,0.5,30.0,40.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-138.34362147725454,0.24444007083193117,0.3137745851201848,30.642264214976123,83.04487824507416,135.67896109041635,249.05906097822452,542.6873196132096,0.8046948356807512,171.11912827079158,0.08480324420841612
S3,smooth,0.3,0.4,30.0,40.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-151.31953656209672,0.23574319225057477,0.30507770653882926,30.465682213442392,86.10225978578727,137.99943090911955,252.6902557318351,539.6299380724965,0.801564945226917,171.10563123333014,0.09830028166985016
S5,smooth_protective,0.2,0.65,60.0,30.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-80.5762606443429,0.29008408495990773,0.3594185992481935,31.61395269244299,66.9987572220434,126.89178893360874,246.93671482681933,558.7334406362405,0.8618153364632238,171.11469424701613,0.08923726798386156
R2,soc,0.15,0.65,80.0,12.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-51.773015446040304,0.3198894311736492,0.38922394546019495,32.242360773775864,56.52070875089405,117.46494036315296,248.285867881705,569.2114891073899,0.8993740219092332,171.05223958981225,0.1516919251877482
R4,soc_extreme,0.15,0.8,120.0,8.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-43.0795156359336,0.3308300050154431,0.40016451930161684,32.46508572896455,52.67455772157159,112.81761401268398,318.50274319436807,573.0576401367122,0.881377151799687,170.98593160862586,0.21799990637413202
R6,soc_refined,0.15,0.65,120.0,12.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-49.8113773770518,0.32225621416851585,0.391590728455199,32.294462660446285,55.688667855749685,116.6328994681349,248.2858678280204,570.0435300025341,0.905320813771518,171.05223958981225,0.1516919251877482
R7,soc_refined,0.15,0.7,160.0,12.0,sustained_high,train_parent_013_02,True,,,6390,1.775,-47.649472166000585,0.32493086783157604,0.39426538211835194,32.35083269451702,54.748395244028195,115.69262685621796,247.84217200136644,570.9838026142556,0.9086071987480439,171.05228947212174,0.151642042878251
E0,economy_extreme,0.4,0.25,8.0,8.0,soc_pressure,train_parent_021_01,False,3749.0,primal infeasible,3749,1.041388888888889,-69.09593337061554,0.20113299752464864,0.20113299752464864,16.75699696097877,209.04103343841874,285.4094213523906,974.2255184103939,305.2080986582585,0.20192051213656975,161.84988316499283,0.5243429430071558
E2,economy_moderate,0.4,0.35,20.0,12.0,soc_pressure,train_parent_021_01,False,3968.0,primal infeasible,3968,1.1022222222222222,-52.87211862748857,0.20121780303786993,0.20121780303786993,19.177906947407404,197.4557276350126,282.3537956236863,1109.3604199799395,348.86372674156075,0.2321068548387097,162.02823823142805,0.3459878765719395
B2,balanced,0.25,0.5,50.0,20.0,soc_pressure,train_parent_021_01,False,4156.0,primal infeasible,4156,1.1544444444444444,-47.596251221436745,0.2012812387519186,0.2012812387519186,21.030819045996036,188.48937085363033,274.0425383477792,779.4653534636961,382.4824688423833,0.2670837343599615,162.25137495929042,0.12285114870957159
B4,balanced,0.2,0.5,40.0,16.0,soc_pressure,train_parent_021_01,False,4128.0,primal infeasible,4128,1.1466666666666667,-47.830932335578325,0.20121952800916226,0.20121952800916226,20.72961720488744,189.80146615315277,265.47279410221165,803.5463524974962,377.6294781037374,0.2705910852713178,162.25144986128524,0.12277624671474996
S1,smooth,0.25,0.5,30.0,40.0,soc_pressure,train_parent_021_01,False,3978.0,primal infeasible,3978,1.105,-51.867605375125684,0.2012754094330168,0.2012754094330168,19.16391952510215,196.92682761429688,271.69064021794566,476.8108027750251,350.7761783624334,0.22976370035193563,162.31830649936634,0.0559196086336442
S3,smooth,0.3,0.4,30.0,40.0,soc_pressure,train_parent_021_01,False,3979.0,primal infeasible,3979,1.1052777777777778,-53.05559738191201,0.20118792313665296,0.20118792313665296,19.208069424531182,196.9267276868101,277.6339462538298,497.1628963799921,350.91427966581693,0.23045991455139483,162.30487118395052,0.0693549240494633
S5,smooth_protective,0.2,0.65,60.0,30.0,soc_pressure,train_parent_021_01,False,4172.0,primal infeasible,4172,1.1588888888888889,-47.42349317482283,0.20121596988728868,0.20121596988728868,21.164853222431987,187.8016407586754,271.2320887016421,649.4975484970106,385.1802531405128,0.27037392138063276,162.31389275241227,0.06033335558771569
R2,soc,0.15,0.65,80.0,12.0,soc_pressure,train_parent_021_01,False,4119.0,primal infeasible,4119,1.1441666666666668,-47.43061149949718,0.20121661115800946,0.20121661115800946,20.617481682499246,190.21777244346868,243.64406929446696,882.2122484526111,376.07449514909814,0.29278951201748,162.25172370078843,0.12250240721155592
R4,soc_extreme,0.15,0.8,120.0,8.0,soc_pressure,train_parent_021_01,False,4069.0,primal infeasible,4069,1.1302777777777777,-47.82355526238872,0.20124977429055832,0.20124977429055832,20.11622486770932,192.53686582297505,222.0933334992916,979.3357374126559,367.3691534583946,0.3054804620299828,162.18571894645936,0.18850716154062752
R6,soc_refined,0.15,0.65,120.0,12.0,soc_pressure,train_parent_021_01,False,4104.0,primal infeasible,4104,1.14,-47.54208716319602,0.20119801790622113,0.20119801790622113,20.46744346592147,190.92319019869979,237.2366352093851,893.8976909687892,373.4696158579481,0.29580896686159847,162.25172370078843,0.12250240721155592
R7,soc_refined,0.15,0.7,160.0,12.0,soc_pressure,train_parent_021_01,False,4099.0,primal infeasible,4099,1.138611111111111,-47.5594293633086,0.20123309083540902,0.20123309083540902,20.417982714585364,191.13685892835736,233.7402191325672,913.3401317926332,372.620078556186,0.299585264698707,162.25177335498577,0.12245275301421543
