candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,start,completed,failure_step,steps,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh,battery_throughput_kwh,fc_tv_kw,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
S0,smooth,0.25,0.4,20,30,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10704351663832111,0.5386223389145718,0.5386223389145718,14.280850301408018,7.099660517307497,7.099660517307497,44.71674407152588,268.3004644291553,273.0106616461517,0.0,296.9634633384175,0.12734984658249004
S1,smooth,0.25,0.5,30,40,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10895587464338495,0.5402877665324392,0.5402877665324392,14.630031823857976,6.060433683758182,6.060433683758182,33.064505342544976,198.38703205526986,279.2460226474476,0.0,296.9873900239343,0.1034231610656775
S2,smooth,0.2,0.55,50,30,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10903389339642983,0.5403633140137528,0.5403633140137528,14.645810948414749,6.013292055418723,6.013292055418723,31.5084165265514,189.0504991593084,279.5288724174843,0.0,296.98264315897603,0.10817002602396997
S3,smooth,0.3,0.4,30,40,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10752554704509948,0.539043963288581,0.539043963288581,14.36919778761943,6.836566907925373,6.836566907925373,42.441009727007156,254.64605836204294,274.58922330244445,0.0,296.9730102454265,0.11780293957349386
S4,smooth,0.35,0.5,50,40,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10658792037847598,0.5382063151578074,0.5382063151578074,14.19387110535225,7.3592593415283964,7.3592593415283964,47.853434508707664,287.120607052246,271.4530687008263,0.0,296.9586695922952,0.1321435927047787
S5,smooth,0.2,0.65,60,30,ordinary_stable,train_parent_061_01,1710,True,,600,-0.1093030284353946,0.5405934596582029,0.5405934596582029,14.694141415516325,5.869681173281874,5.869681173281874,29.362564283074164,176.17538569844498,280.39053771030547,0.0,296.9826660035727,0.10814718142728452
R0,baseline_soc,0.25,0.45,80,8,ordinary_stable,train_parent_061_01,1710,True,,600,-0.09669667725960117,0.5273071680701588,0.5273071680701588,11.939906816767486,14.160327124220412,14.160327124220412,106.58223327595277,639.4933996557166,230.6466620046742,0.0,296.70167752113207,0.38913566386793264
R1,soc,0.2,0.55,80,12,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10349112665954044,0.5353582608481221,0.5353582608481221,13.599094371900133,9.136445230772102,9.136445230772102,59.35126400695427,356.1075840417256,260.78995336536406,0.0,296.8683048576898,0.22250832731020864
R2,soc,0.15,0.65,80,12,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10707321317576056,0.5387354635306051,0.5387354635306051,14.303695695322304,7.029070756902228,7.029070756902228,36.54146431548054,219.24878589288323,273.4342002085833,0.0,296.91612665077446,0.17468653422554326
R3,soc,0.2,0.65,120,12,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10421220872041653,0.5360980608589003,0.5360980608589003,13.75275335589723,8.674810024047336,8.674810024047336,52.96944401723664,317.81666410341984,263.55976460571264,0.0,296.86844673561905,0.2223664493809565
R4,soc,0.15,0.8,120,8,ordinary_stable,train_parent_061_01,1710,True,,600,-0.1064503953139315,0.5382427369632715,0.5382427369632715,14.199939772069865,7.336532134919232,7.336532134919232,34.66070871752095,207.96425230512568,271.5894319404813,0.0,296.845481956671,0.24533122832900744
R5,soc,0.25,0.6,120,16,ordinary_stable,train_parent_061_01,1710,True,,600,-0.10344820586876131,0.5352803526008192,0.5352803526008192,13.583227608806288,9.185059977089267,9.185059977089267,61.788449767490846,370.7306986049451,260.49826488746106,0.0,296.880099937524,0.21071324747600784
F0,baseline_fast,0.15,0.8,12,8,ordinary_stable,train_parent_061_01,1710,True,,600,-0.1064503953139315,0.5382427369632715,0.5382427369632715,14.199939772069865,7.336532134919232,7.336532134919232,34.66070871752095,207.96425230512568,271.5894319404813,0.0,296.845481956671,0.24533122832900744
B0,baseline_nominal,0.25,0.4,12,20,fluctuating,train_parent_063_01,5010,True,,600,-0.2338720913107744,0.5056091531234714,0.5056091531234714,22.327704688239763,27.69988845095378,32.66461629163783,82.84456337175038,497.0673802305023,411.76342246421564,0.0,435.51762103499914,0.19855896500087056
B1,balanced,0.25,0.45,30,20,fluctuating,train_parent_063_01,5010,True,,600,-0.23364679584426995,0.5062536301996053,0.5062536301996053,22.472288752421417,27.29773475544593,32.39407733692613,91.15759936090888,546.9455961654533,414.17634463726273,0.0,435.51765531694303,0.19852468305697357
B2,balanced,0.25,0.5,50,20,fluctuating,train_parent_063_01,5010,True,,600,-0.23345917620922393,0.5068829644737997,0.5068829644737997,22.613780160171356,26.90503016834878,32.13403288532589,99.57179170705535,597.4307502423321,416.53257215984564,0.0,435.51768958169487,0.19849041830514125
B3,balanced,0.3,0.45,30,16,fluctuating,train_parent_063_01,5010,True,,600,-0.23367852273682282,0.5026980868140504,0.5026980868140504,21.678052987510313,29.51639382803273,33.323567481812745,117.6004419491515,705.602651694909,400.86439020174197,0.0,435.44120224846165,0.27497775153835846
B4,balanced,0.2,0.5,40,16,fluctuating,train_parent_063_01,5010,True,,600,-0.2331396373238625,0.5083930668117087,0.5083930668117087,22.95451491816998,25.962726309493302,31.520899989606622,120.83941098504744,725.0364659102846,422.18639531297856,0.0,435.5177751684258,0.1984048315741802
B5,balanced,0.3,0.55,50,24,fluctuating,train_parent_063_01,5010,True,,600,-0.2336129762504842,0.5063595580351921,0.5063595580351921,22.49608316180289,27.231635786040748,32.34983868079781,92.55395926327816,555.323755579669,414.57293845369384,0.0,435.5176610289274,0.19851897107258765
E0,baseline_economy,0.4,0.25,8,8,fluctuating,train_parent_063_01,5010,True,,600,-0.3485821476548256,0.4802994332721768,0.4802994332721768,16.811137163047473,43.493153638161516,43.61014604908136,191.14456118787803,1146.8673671272682,317.0038313409692,0.0,435.05892515207427,0.6572548479257421
