state_id,soc,soc_regime,load_regime,transition_regime,fc_power_regime,winner_action_id,winner_action_name,best_reward,second_action_id,second_reward,first_second_reward_gap
58,0.49,below_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.8967876727230535,0,0.8466273065820603,0.05016036614099317
59,0.5,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.9945048884149041,2,0.9844959994309217,0.010008888983982445
60,0.55,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.9945048884149041,2,0.9844959994309217,0.010008888983982445
61,0.6,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.9944665338867932,2,0.984478457129061,0.009988076757732167
62,0.61,above_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.8928802715874359,0,0.8408682277261007,0.05201204386133518
63,0.65,above_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.27994845749979297,1,0.2499836194979628,0.02996483800183017
64,0.45,below_soft_range,load_high,rapid_fall,near_saturation_ge590,2,fc_smoothing,0.2795022353682735,1,0.24742242253461358,0.03207981283365993
65,0.49,below_soft_range,load_high,rapid_fall,near_saturation_ge590,2,fc_smoothing,0.8881403469253598,0,0.8366928962460157,0.05144745067934409
66,0.5,inside_soft_range,load_high,rapid_fall,near_saturation_ge590,3,soc_protection,0.992510435987813,2,0.9786459177000035,0.013864518287809435
67,0.55,inside_soft_range,load_high,rapid_fall,near_saturation_ge590,3,soc_protection,0.9925470399480391,2,0.9786621905569699,0.013884849391069154
68,0.6,inside_soft_range,load_high,rapid_fall,near_saturation_ge590,3,soc_protection,0.9925470399480391,2,0.9786621905569699,0.013884849391069154
69,0.61,above_soft_range,load_high,rapid_fall,near_saturation_ge590,2,fc_smoothing,0.8918843684991941,0,0.842241662962444,0.0496427055367501
70,0.65,above_soft_range,load_high,rapid_fall,near_saturation_ge590,2,fc_smoothing,0.28136328392967397,1,0.24909744443984766,0.03226583948982631
71,0.45,below_soft_range,load_high,rapid_rise,near_saturation_ge590,2,fc_smoothing,0.279442947672434,1,0.2473653394475367,0.0320776082248973
72,0.49,below_soft_range,load_high,rapid_rise,near_saturation_ge590,2,fc_smoothing,0.8879738741657506,0,0.8364680935046617,0.05150578066108891
73,0.5,inside_soft_range,load_high,rapid_rise,near_saturation_ge590,3,soc_protection,0.9924437550010476,2,0.9785748602720303,0.013868894729017311
74,0.55,inside_soft_range,load_high,rapid_rise,near_saturation_ge590,3,soc_protection,0.9924847267258718,2,0.9785930696583945,0.013891657067477303
75,0.6,inside_soft_range,load_high,rapid_rise,near_saturation_ge590,3,soc_protection,0.9924847267258718,2,0.9785930696583945,0.013891657067477303
76,0.61,above_soft_range,load_high,rapid_rise,near_saturation_ge590,2,fc_smoothing,0.8919342227145215,0,0.8423366302097237,0.04959759250479778
77,0.65,above_soft_range,load_high,rapid_rise,near_saturation_ge590,2,fc_smoothing,0.2814115942148043,1,0.24913567528351682,0.03227591893128745
78,0.45,below_soft_range,load_high,stable,near_saturation_ge590,2,fc_smoothing,0.2797809926553082,1,0.24768779584364395,0.032093196811664254
79,0.49,below_soft_range,load_high,stable,near_saturation_ge590,2,fc_smoothing,0.8888901419667924,0,0.8377164448717782,0.05117369709501418
80,0.5,inside_soft_range,load_high,stable,near_saturation_ge590,3,soc_protection,0.9927770492796171,2,0.9789300461431782,0.013847003136438829
81,0.55,inside_soft_range,load_high,stable,near_saturation_ge590,3,soc_protection,0.9927962728306455,2,0.9789385733337562,0.013857699496889309
82,0.6,inside_soft_range,load_high,stable,near_saturation_ge590,3,soc_protection,0.9927962728306455,2,0.9789385733337562,0.013857699496889309
83,0.61,above_soft_range,load_high,stable,near_saturation_ge590,2,fc_smoothing,0.8916008432098629,0,0.8417375812740509,0.04986326193581203
84,0.65,above_soft_range,load_high,stable,near_saturation_ge590,2,fc_smoothing,0.2811284362459943,1,0.24890771336493486,0.032220722881059455
85,0.45,below_soft_range,load_low,rapid_fall,medium_150_450,2,fc_smoothing,0.2830387620578855,1,0.25394121096026573,0.029097551097619745
86,0.49,below_soft_range,load_low,rapid_fall,medium_150_450,2,fc_smoothing,0.9000821846597726,0,0.8504094398924726,0.04967274476729999
87,0.5,inside_soft_range,load_low,rapid_fall,medium_150_450,3,soc_protection,0.993855827479022,2,0.9859631215394504,0.007892705939571587
88,0.55,inside_soft_range,load_low,rapid_fall,medium_150_450,3,soc_protection,0.993855827479022,2,0.9859631215394504,0.007892705939571587
89,0.6,inside_soft_range,load_low,rapid_fall,medium_150_450,3,soc_protection,0.9936896190371514,2,0.9858871424545309,0.0078024765826204545
90,0.61,above_soft_range,load_low,rapid_fall,medium_150_450,2,fc_smoothing,0.8919415274202118,0,0.8384103289405223,0.05353119847968957
91,0.65,above_soft_range,load_low,rapid_fall,medium_150_450,2,fc_smoothing,0.2790345704409065,1,0.2503191854673277,0.02871538497357884
92,0.45,below_soft_range,load_low,rapid_rise,medium_150_450,2,fc_smoothing,0.2831369429091756,1,0.2542757812594806,0.028861161649695044
93,0.49,below_soft_range,load_low,rapid_rise,medium_150_450,2,fc_smoothing,0.9006304607928469,0,0.8509345449072051,0.04969591588564182
94,0.5,inside_soft_range,load_low,rapid_rise,medium_150_450,3,soc_protection,0.9939509235121001,2,0.9864916949751967,0.007459228536903395
95,0.55,inside_soft_range,load_low,rapid_rise,medium_150_450,3,soc_protection,0.9939509235121001,2,0.9864916949751967,0.007459228536903395
96,0.6,inside_soft_range,load_low,rapid_rise,medium_150_450,3,soc_protection,0.9937755395931152,2,0.986411462220534,0.007364077372581157
97,0.61,above_soft_range,load_low,rapid_rise,medium_150_450,2,fc_smoothing,0.8922614210860382,0,0.8385999129237389,0.05366150816229931
98,0.65,above_soft_range,load_low,rapid_rise,medium_150_450,2,fc_smoothing,0.2790231384601767,1,0.250546557990412,0.0284765804697647
99,0.45,below_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.2813189010473732,1,0.25369387715431957,0.027625023893053657
100,0.49,below_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.9004793753187447,1,0.8531968238032028,0.04728255151554184
101,0.5,inside_soft_range,load_low,stable,medium_150_450,3,soc_protection,0.997262169905002,0,0.9917768725503506,0.005485297354651419
102,0.55,inside_soft_range,load_low,stable,medium_150_450,3,soc_protection,0.9972635704157711,0,0.991777912270655,0.005485658145116035
103,0.6,inside_soft_range,load_low,stable,medium_150_450,3,soc_protection,0.9972635704157711,0,0.991777912270655,0.005485658145116035
104,0.61,above_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.9012136646762137,1,0.8539971252678543,0.04721653940835935
105,0.65,above_soft_range,load_low,stable,medium_150_450,2,fc_smoothing,0.28167739894552557,1,0.2540478284039191,0.027629570541606474
106,0.45,below_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.28012454265120895,1,0.25128965397016245,0.0288348886810465
107,0.49,below_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.8952975423609283,0,0.8428776495222782,0.05241989283865012
108,0.5,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.9954395847137968,2,0.9876077369852105,0.00783184772858625
109,0.55,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.9954851831416868,2,0.9876283310258777,0.00785685211580911
110,0.6,inside_soft_range,load_medium,rapid_fall,medium_150_450,3,soc_protection,0.9954851831416868,2,0.9876283310258777,0.00785685211580911
111,0.61,above_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.899541028982885,0,0.8491545226738855,0.050386506308999546
112,0.65,above_soft_range,load_medium,rapid_fall,medium_150_450,2,fc_smoothing,0.28220722850291263,1,0.25321137295282625,0.02899585555008638
113,0.45,below_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.2819466879294894,1,0.2530290337089502,0.028917654220539213
114,0.49,below_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.8993496349373975,0,0.8486862941268318,0.05066334081056567
115,0.5,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9958622840495166,2,0.9881284478128857,0.007733836236630931
116,0.55,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9958622840495166,2,0.9881284478128857,0.007733836236630931
117,0.6,inside_soft_range,load_medium,rapid_rise,medium_150_450,3,soc_protection,0.9958396222182448,2,0.9881180116474029,0.007721610570841975
118,0.61,above_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.8963266104315932,0,0.8442342546701088,0.05209235576148441
119,0.65,above_soft_range,load_medium,rapid_rise,medium_150_450,2,fc_smoothing,0.280463962003656,1,0.25170260491211116,0.028761357091544815
120,0.45,below_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.28187388575173183,1,0.25169719582650446,0.030176689925227373
121,0.49,below_soft_range,load_medium,stable,medium_150_450,2,fc_smoothing,0.8967917531204967,0,0.8466305618566067,0.05016119126389007
122,0.5,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.99450713996819,2,0.984501869692045,0.01000527027614495
123,0.55,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.99450713996819,2,0.984501869692045,0.01000527027614495
124,0.6,inside_soft_range,load_medium,stable,medium_150_450,3,soc_protection,0.9944688167488054,2,0.9844843415262791,0.009984475222526323
