timestamp,time_s,speed_kn,speed_provenance
2024-04-30T09:07:10+08:00,2880.0,8.0,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:07:40+08:00,2910.0,7.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:08:10+08:00,2940.0,8.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:08:40+08:00,2970.0,8.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:09:10+08:00,3000.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:09:40+08:00,3030.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:10:10+08:00,3060.0,9.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:10:40+08:00,3090.0,9.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:11:10+08:00,3120.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:11:40+08:00,3150.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:12:10+08:00,3180.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:12:40+08:00,3210.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:13:10+08:00,3240.0,10.1,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:13:40+08:00,3270.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:14:10+08:00,3300.0,10.0,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:14:40+08:00,3330.0,9.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:15:10+08:00,3360.0,9.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:15:40+08:00,3390.0,9.7,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:16:10+08:00,3420.0,9.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:16:40+08:00,3450.0,9.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:17:10+08:00,3480.0,9.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:17:40+08:00,3510.0,9.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:18:10+08:00,3540.0,9.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:18:40+08:00,3570.0,9.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:19:10+08:00,3600.0,9.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:19:40+08:00,3630.0,9.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:20:10+08:00,3660.0,9.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:20:40+08:00,3690.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:21:10+08:00,3720.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:21:40+08:00,3750.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:22:10+08:00,3780.0,9.9,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:22:40+08:00,3810.0,10.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:23:10+08:00,3840.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:23:40+08:00,3870.0,10.0,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:24:10+08:00,3900.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:24:40+08:00,3930.0,10.3,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:25:10+08:00,3960.0,10.1,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:25:40+08:00,3990.0,8.6,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:26:10+08:00,4020.0,8.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:26:40+08:00,4050.0,8.5,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:27:10+08:00,4080.0,8.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:27:40+08:00,4110.0,8.2,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:28:10+08:00,4140.0,8.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:28:40+08:00,4170.0,8.8,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:29:10+08:00,4200.0,10.1,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:29:40+08:00,4230.0,10.4,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:30:10+08:00,4260.0,10.1,UNIQUE_NEAREST_RAW_WITHIN_10S
2024-04-30T09:30:40+08:00,4290.0,10.2,UNIQUE_NEAREST_RAW_WITHIN_10S
