dataset_version,voyage_id,load_min_original_30s,load_max_original_30s,load_min_spline_1s,load_max_spline_1s,negative_load_count,negative_load_ratio,original_30s_negative_load_count,original_30s_negative_load_ratio,reconstructed_1s_negative_load_count,reconstructed_1s_negative_load_ratio,above_original_local_max_count,above_original_local_max_ratio,below_original_local_min_count,below_original_local_min_ratio,global_overshoot_count,global_overshoot_ratio,comment
cubic_spline_1s_natural,voyage_054,4e-06,838.8424,-0.0067447728501561,843.3723426026357,89,0.0031359007786899685,0,0.0,89,0.0032441495953925785,2933,0.10691113217175767,3019,0.11004592841000219,360,0.012684542475599874,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_055,6e-06,734.8182,-0.0960873247165091,734.8182,111,0.003088394869369244,0,0.0,111,0.0031949801393126474,4330,0.12463300903805193,4999,0.14388924068850384,118,0.003283158509779917,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_056,4e-06,905.0483,-0.1948564580003532,935.1651365638248,151,0.001498446973831757,0,0.0,151,0.0015501329418648817,15021,0.1542022974818039,17514,0.1797948896941824,244,0.002421331533873833,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_057,2e-06,740.805833,-0.0895068415638311,757.6017970070782,142,0.0198851701442375,0,0.0,142,0.02057374674007534,846,0.12257316719791365,923,0.13372935381048973,267,0.03738972132754516,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_058,0.0,520.162667,-36.416076329611286,522.2195404831082,437,0.030408461484934937,0,0.0,437,0.03145921819883378,2401,0.1728457274494277,2415,0.17385357425671297,465,0.0323568297265326,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_059,0.0,514.733733,-18.88820878551449,531.6261375985735,441,0.06175605657470942,0,0.0,441,0.06389452332657201,1343,0.19458128078817735,1230,0.1782092147203709,499,0.06987816832376417,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_060,0.0,459.1996,-37.69754657600795,471.71052598809024,315,0.02957468782273965,0,0.0,315,0.0305973773676542,1763,0.17124817872753764,1994,0.19368625546381738,332,0.03117078208618909,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_061,6e-06,350.9932,-0.2249571382257097,351.7867637458453,151,0.01405828135182944,0,0.0,151,0.014544403775765748,1027,0.09892120978616836,1346,0.12964746676940858,255,0.023740806256400706,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_062,0.0,491.5851,-34.31428610841538,510.9897631432192,315,0.02957468782273965,0,0.0,315,0.0305973773676542,1509,0.14657600777076252,1852,0.1798931520155415,331,0.031076894188339123,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_063,0.0,773.901333,-0.1686420341852009,820.1348234744761,171,0.005282505946680671,0,0.0,171,0.005464830142852577,3877,0.12390144130900259,4713,0.15061838867405963,194,0.005993018442433042,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_064,-1e-06,467.890333,-0.2374830201145608,470.0681657017155,656,0.0918638846099986,16,0.06694560669456066,640,0.0927267458707621,631,0.0914227760069545,775,0.11228629382787597,316,0.04425150539140176,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_065,0.0,656.1904,-0.0853909202941138,657.6199120133929,324,0.03016478912577972,0,0.0,324,0.0312078597572722,1493,0.14380658832594875,1708,0.16451550760932382,342,0.031840610743878596,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_066,1e-06,507.9851,-0.0720748278374786,509.3724602181044,138,0.01284796573875803,0,0.0,138,0.013292236563282605,1269,0.12223078404931613,1277,0.1230013484877673,167,0.015547900567917326,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_001,0.0,634.152333,0.0,655.6893243071898,0,0.0,0,0.0,0,0.0,1273,0.12227451733743157,1242,0.11929689751224666,26,0.0024138891467830287,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_002,0.0,490.8397,0.0,493.5177016096948,0,0.0,0,0.0,0,0.0,1001,0.14503042596348883,1110,0.16082294986960302,21,0.002940764598795687,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_003,0.0,812.5562,0.0,844.5642442032121,0,0.0,0,0.0,0,0.0,2153,0.15531669311787621,2225,0.16051074880969557,50,0.0034865072170699395,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_004,0.0,723.015433,0.0,732.5640114750466,0,0.0,0,0.0,0,0.0,1560,0.15026006549797727,1785,0.17193219032941628,9,0.0008379108090494367,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_005,0.0,659.281467,0.0,659.7896879678441,0,0.0,0,0.0,0,0.0,3235,0.13295795487238501,3559,0.14627430027536886,22,0.0008740216916292559,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_006,0.0,500.3436,0.0,503.0506739177802,0,0.0,0,0.0,0,0.0,1047,0.10056670828930939,1043,0.10018249927960811,14,0.0012997864636524,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_007,0.0,628.200933,0.0,633.6271330978536,0,0.0,0,0.0,0,0.0,1364,0.13138123675592372,1493,0.14380658832594875,24,0.0022344288241318315,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_008,2e-06,815.424,0.0,815.6703448593581,0,0.0,0,0.0,0,0.0,2247,0.16243764909997832,2202,0.1591845586640642,259,0.01809796659911956,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_009,0.0,418.7092,0.0,424.1821580717892,0,0.0,0,0.0,0,0.0,1944,0.14023950367912277,2173,0.1567594863656038,20,0.0013946028868279756,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural_clipped,voyage_010,0.0,503.780067,0.0,522.7970916305379,0,0.0,0,0.0,0,0.0,1291,0.12400345788108731,1572,0.15099414081260207,70,0.006498932318262,local endpoint overshoot present; global original-range overshoot present
