action_id,action_name,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,completed,episode_reward,expected_steps,fc_max_step_kw,fc_variation_rms_kw,final_soc,first_failure_decision_index,first_failure_solve_ms,mean_reward_per_step,mean_solve_ms,minimum_soc,p99_solve_ms,q_batt,q_fc_var,q_h2,q_soc,solved_inaccurate_steps,solver_status,solver_status_class,split,successful_steps,total_h2_kg,voyage_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
2,soc_regulation,243.22316042758538,242.10520038738917,485.3283608149745,True,-383207.4946664586,25169,1.193913367991172,0.2714059313104579,0.5517916026285179,,,-15.225376243253946,0.056328042781266796,0.3698505244939477,0.12212799862027157,0.45,15.0,0.25,36.0,0,solved,solved,train,25169,98.31792626181998,voyage_005,370.651316354415,16.093561007868548,2780.6564115177252,380040.09337753506
3,fast_fc_response,108.26676920890894,117.03563640847135,225.3024056173803,True,-299437.9948131398,25169,7.449599918135334,0.5575263606898955,0.5359473282058269,,,-11.897095427436122,0.049180670374313715,0.385413620119491,0.09139999747276306,0.8,1.0,0.15,12.0,0,solved,solved,train,25169,96.94808964283324,voyage_005,118.26616124134787,67.91165186846392,2741.9142898785894,296509.9027101519
4,fc_smoothing,0.06163284224635177,218.33284407813665,218.394476920383,False,-1802505.7792168586,25169,0.5420946267109912,0.16311665536387782,0.20020639225017384,8824,0.06180000491440296,-204.27309374624417,0.053637193795378006,0.20020639225017384,0.10356215294450548,0.1,40.0,0.25,12.0,0,primal infeasible,primal_infeasible,train,8824,39.67116943192149,voyage_005,211.22381190104085,2.0380256050402195,1121.9916431062534,1801170.5257362484
0,candidate_C,157.01025865485403,135.1538398861188,292.1640985409728,True,-127074.97616040218,10769,0.5091997931758527,0.21047386857983152,0.5850263121293803,,,-11.800072073581779,0.054354573530722254,0.435929911426012,0.10653203353285787,0.4,20.0,0.25,12.0,0,solved,solved,train,10769,33.09731107670704,voyage_006,228.88334790218101,4.141133822079554,936.0678540389282,125905.88382464317
1,hydrogen_economy,109.32863536144808,121.0959676761291,230.42460303757719,True,-204380.74824115713,10769,0.5648744793931542,0.23132301475764228,0.5311420956495488,,,-18.97861902137219,0.05247388702266113,0.42419421990011313,0.11146407574415201,0.25,8.0,0.4,8.0,0,solved,solved,train,10769,31.145438456908742,voyage_006,183.02939164786747,5.002194625338919,880.8644204325711,203311.8522344728
2,soc_regulation,114.10386106315241,97.75410910479093,211.8579701679433,True,-24880.405648328466,10769,1.1389679957337364,0.33558265885787375,0.5762015255743007,,,-2.310372889620992,0.05682131331920768,0.4963268633734651,0.10719211772084218,0.45,15.0,0.25,36.0,0,solved,solved,train,10769,32.86567198017215,voyage_006,144.1250608107652,10.527419259143972,929.5165692078942,23796.236599050266
3,fast_fc_response,17.115688642336252,25.64967630164005,42.76536494397631,True,-12896.186814941158,10769,7.2035463408092255,0.9117533272268757,0.5363237377254757,,,-1.1975287227171658,0.04902331714423844,0.5293676378033254,0.08719996549189091,0.8,1.0,0.15,12.0,0,solved,solved,train,10769,31.280927695575773,voyage_006,11.832245744648205,77.71012571909039,884.6963667979594,11921.948076679495
4,fc_smoothing,186.6208754568758,146.2433225611313,332.8641980180072,True,-416764.26046127325,10769,0.4439489509042005,0.17078308895189492,0.6147076168201008,,,-38.70036776499891,0.053875382683672375,0.3462823061716574,0.09689600206911556,0.1,40.0,0.25,12.0,0,solved,solved,train,10769,34.586056190284715,voyage_006,324.1560674427797,2.726544728554152,978.1729797528424,415459.20486936613
0,candidate_C,218.9479113281639,200.5028311024421,419.450742430606,True,-156347.75333172551,10770,0.5086294780834351,0.23193299781375828,0.5795594234386607,,,-14.516968740178784,0.04906945193001348,0.42529456717502695,0.08972398471087197,0.4,20.0,0.25,12.0,0,solved,solved,train,10770,46.82854829668922,voyage_007,390.377326101245,5.029077254031442,1324.418730278385,154627.92819809326
1,hydrogen_economy,193.75439925636334,218.596702898354,412.3511021547173,True,-305743.3414676145,10770,0.7158784073724291,0.2797882218259481,0.5101886159583477,,,-28.38842539160766,0.04998064025312994,0.40086524930175405,0.09353093337267632,0.25,8.0,0.4,8.0,0,solved,solved,train,10770,44.36844895430616,voyage_007,364.0164819664888,7.318500056519989,1254.8414795219571,304117.1650060714
2,soc_regulation,253.01483606781096,239.65243488283943,492.66727095065045,True,-47738.0039348788,10770,1.1704224060778188,0.5245371739366222,0.5714141044630974,,,-4.432498044092739,0.05491151404804866,0.491754254064917,0.09623107034713024,0.45,15.0,0.25,36.0,0,solved,solved,train,10770,46.79536023380623,voyage_007,515.3608653653239,25.72265354585131,1323.480095755166,45873.44032021216
3,fast_fc_response,35.407426313257304,44.31261625658617,79.72004256984346,True,-19857.35372169883,10770,8.693723691327818,1.2242652916292598,0.5357288622703057,,,-1.843765433769622,0.04902159783923471,0.5105594298282884,0.08353092940524215,0.8,1.0,0.15,12.0,0,solved,solved,train,10770,45.53857609213586,voyage_007,25.062796114737623,140.12457188526574,1287.9353582458978,18404.230995452945
4,fc_smoothing,290.3815695270805,241.6801698317276,532.0617393588082,True,-398118.5418456064,10770,0.4730791434670891,0.16365044324508396,0.6280471148964013,,,-36.96550992066912,0.05646510712954604,0.3290859969680482,0.11746196309104552,0.1,40.0,0.25,12.0,0,solved,solved,train,10770,48.56247738923495,voyage_007,567.9462552797146,2.503788244577656,1373.4582211588372,396174.6335809241
0,candidate_C,237.93055431327167,267.06391639244515,504.9944707057168,True,-366721.74844095984,14340,0.7118363192690822,0.19869124070480199,0.5033119197449148,,,-25.573343684864703,0.04905401556940965,0.31971411714397213,0.08519995026290417,0.4,20.0,0.25,12.0,0,solved,solved,train,14340,48.31215594172977,voyage_008,541.7899102269122,4.914214574345014,1366.3785566011973,364808.6657595575
1,hydrogen_economy,213.02968470024416,261.2712520973725,474.3009367976166,True,-602861.6656991952,14340,0.9284445824383738,0.24052393009108977,0.47268979583793436,,,-42.04056246158962,0.05117600393706265,0.2922837646343712,0.09532202733680617,0.25,8.0,0.4,8.0,0,solved,solved,train,14340,47.16184366096025,voyage_008,513.6410583124446,7.2013389928149705,1333.8450874731705,601006.9782144176
2,soc_regulation,230.7438938279376,233.07705127394138,463.8209451018789,True,-179062.66729420223,14340,1.5282519115958166,0.34373785688180253,0.5462609656314048,,,-12.486936352454828,0.05123811703164915,0.36240582761727536,0.09036103496328002,0.45,15.0,0.25,36.0,0,solved,solved,train,14340,49.9825682509646,voyage_008,477.41882105806997,14.707924847204653,1413.6216471967707,177156.91890110038
3,fast_fc_response,90.59563610245077,123.88040672385004,214.4760428263008,True,-130970.05774383876,14340,7.926869493517529,0.8943325604552282,0.4966590214400658,,,-9.133197890086384,0.0495288208986904,0.38692778090805385,0.0950000248849392,0.8,1.0,0.15,12.0,0,solved,solved,train,14340,47.80223785231237,voyage_008,165.67984273165462,99.56226258177401,1351.9569037185659,129352.85873480659
4,fc_smoothing,179.69317243394426,397.71582293065205,577.4089953645963,False,-742506.0028146349,14340,0.7462734981587573,0.21915355783424034,0.20060472676809832,13425,0.07209996692836285,-55.30770970686294,0.058094391137972004,0.20060472676809832,0.10817592032253745,0.1,40.0,0.25,12.0,0,primal infeasible,primal_infeasible,train,13425,36.871788320601816,voyage_008,713.3338698224369,5.5970458737901225,1042.8187259035208,740744.2531730336
0,candidate_C,93.90111449061428,90.04334119071378,183.94445568132807,True,-51021.093894203776,14370,0.3470866655079874,0.08716782782001439,0.556182329006249,,,-3.5505284547114666,0.05039885209480569,0.49348842558378353,0.11223095934838051,0.4,20.0,0.25,12.0,0,solved,solved,train,14370,18.86762556238746,voyage_009,75.2002311211612,0.9478000700744188,533.6197170235898,50411.326145986895
1,hydrogen_economy,77.82267447828677,104.08029184684659,181.90296632513335,True,-217034.78442422708,14370,0.5828078267526706,0.10225259461665548,0.5079204849862795,,,-15.10332529048205,0.05154029282150828,0.4659627053560577,0.11279284721240386,0.25,8.0,0.4,8.0,0,solved,solved,train,14370,17.30024192468158,voyage_009,77.64558962882353,1.3042263275250376,489.29051351811916,216466.54409475296
2,soc_regulation,95.8125823397327,87.81701052988275,183.62959286961544,True,-9725.003993702609,14370,0.658855198053601,0.1750510132160722,0.5628134163619443,,,-0.6767574108352546,0.05625324236603665,0.520081490096033,0.10999997844919562,0.45,15.0,0.25,36.0,0,solved,solved,train,14370,19.14855274317573,voyage_009,71.57215050761756,3.8223772427602443,541.5649819018164,9108.044484050062
3,fast_fc_response,17.620231873946086,26.36022106753542,43.98045294148151,True,-13995.388141679805,14370,6.454094591206797,0.6686606656921255,0.535993607061556,,,-0.9739309771523873,0.04983024283460676,0.5290372833413187,0.10030002100393176,0.8,1.0,0.15,12.0,0,solved,solved,train,14370,18.267442567215134,voyage_009,8.596248535145946,55.77195159354093,516.6451656160829,13414.374775934988
4,fc_smoothing,187.86660843424613,136.20239018963085,324.06899862387695,True,-175992.82214366028,14370,0.28199883481846655,0.10860900667106858,0.6327952215458542,,,-12.247238840894939,0.05659072865034008,0.45700618568171325,0.12079998850822449,0.1,40.0,0.25,12.0,0,solved,solved,train,14370,21.67765562927666,voyage_009,186.42318142052764,1.471417688048568,613.0938111094082,175191.833733446
0,candidate_C,204.05395161395506,167.4682919884527,371.5222436024078,True,-165702.2688386294,10769,0.4955123054711521,0.2520414829420583,0.6086308647844612,,,-15.386968970064945,0.04892129202747187,0.4358170268098646,0.0840319041162729,0.4,20.0,0.25,12.0,0,solved,solved,train,10769,37.89916434297833,voyage_010,314.4041208046699,5.938365853753392,1071.8752757340335,164310.0510762244
1,hydrogen_economy,151.56759096139092,164.25920267382384,315.82679363521476,True,-246683.24254745926,10769,0.7324859023653971,0.2740140506416825,0.5296608786659714,,,-22.90679195352022,0.05258097221154873,0.4213266653979765,0.09329604916274539,0.25,8.0,0.4,8.0,0,solved,solved,train,10769,34.97930801935936,voyage_010,261.28446959608334,7.018892055134167,989.2950432608432,245425.64414254966
2,soc_regulation,173.50621144047338,161.14202367908226,334.6482351195555,True,-31262.256807779864,10769,1.1725139735021628,0.4655846991323359,0.5698144034637728,,,-2.9029860532807006,0.05359850447769865,0.4875389403049981,0.09332801215350617,0.45,15.0,0.25,36.0,0,solved,solved,train,10769,36.784995306361445,voyage_010,298.5473768798014,20.263772290280748,1040.364020432189,29903.08163817765
