action_id,action_name,current_load_kw,current_soc,decision_index,delta_p_fc_kw,dual_residual,future_load_kw,h2_kg,load_delta_regime,load_regime,p_batt_first_kw,p_batt_horizon_kw,p_fc_first_kw,p_fc_horizon_kw,previous_batt_kw,previous_fc_kw,previous_fc_regime,previous_load_kw,primal_residual,q_batt,q_fc_var,q_h2,q_soc,reward,soc_horizon,soc_next,soc_predicted,soc_regime,solution_validation_error,solve_ms,solver_iterations,solver_status,solver_status_class,source_split,source_voyage_id,state_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
0,candidate_C,0.0668995116918154,0.55,5007,-0.3551773147805761,1.8484926735836562e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004091260872120292,rapidly_falling,low,-279.6448226852194,"[-279.6448226852196,-279.3490915414419,-279.1127369603366,-278.93566654681416,-278.8177651327502,-278.75889478121417]",279.6448226852194,"[279.6448226852194,279.34909154144174,279.11273696033646,278.93566654681405,278.81776513275,278.7588947812142]",-279.9331004883082,280.0,medium,0.4467879472038731,5.542441505745899e-16,0.4,20.0,0.25,12.0,-0.1972146059933032,"[0.55,0.5501244857650842,0.5502488398834698,0.5503730887870313,0.5504972588665126,0.55062137646139,0.5507454678497363]",0.5501244857650843,0.5501244857650842,reference,,0.08330005221068859,25,solved,solved,train,voyage_037,probe_005,0.08033492239341697,0.001095060112280733,0.11571023930020413,7.438418740137047e-05
1,hydrogen_economy,0.0668995116918154,0.55,5007,-0.9290538162611028,4.27986987981508e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004082205417226867,rapidly_falling,low,-279.0709461837389,"[-279.07094618373884,-278.29736934266117,-277.6790339502032,-277.2156906923708,-276.9070765211841,-276.7529146765388]",279.0709461837389,"[279.0709461837389,278.2973693426612,277.6790339502033,277.21569069237086,276.9070765211841,276.7529146765388]",-279.9331004883082,280.0,medium,0.4467879472038731,4.81385764583564e-16,0.25,8.0,0.4,8.0,-0.20302629297094293,"[0.55,0.5501242303001174,0.5502481162373248,0.5503717269183923,0.5504951313391065,0.5506183983781562,0.5507415967910286]",0.5501242303001175,0.5501242303001174,reference,,0.06630015559494495,25,solved,solved,train,voyage_037,probe_005,0.08000554015027869,0.007492543346435062,0.11545413027038627,7.40792038428849e-05
2,soc_regulation,0.0668995116918154,0.55,5007,-0.5135432418982759,7.478767856006094e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00408876167409317,rapidly_falling,low,-279.4864567581017,"[-279.4864567581016,-279.0593703168697,-278.7185347204975,-278.4636385529918,-278.29426502671276,-278.20989201265394]",279.4864567581017,"[279.4864567581017,279.05937031686983,278.7185347204976,278.46363855299194,278.2942650267128,278.2098920126538]",-279.9331004883082,280.0,medium,0.4467879472038731,3.219473299065356e-14,0.45,15.0,0.25,36.0,-0.19824710920990768,"[0.5499999999999985,0.5501244152674283,0.5502486404144711,0.5503727138362662,0.5504966737893257,0.5506205583446261,0.5507444053407143]",0.5501244152674315,0.5501244152674283,reference,,0.08320016786456108,50,solved,solved,train,voyage_037,probe_005,0.08024395906393643,0.0022892939348905478,0.11563955624898452,7.429996209619388e-05
3,fast_fc_response,0.0668995116918154,0.55,5007,-9.18070934660392,3.295255158502136e-14,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.003952298743293955,rapidly_falling,low,-270.8192906533961,"[-270.81929065339614,-263.2396603485296,-257.2234152895926,-252.7399371373742,-249.76554632543952,-248.2833959806432]",270.8192906533961,"[270.8192906533961,263.23966034852964,257.2234152895926,252.73993713737426,249.76554632543952,248.2833959806433]",-279.9331004883082,280.0,medium,0.4467879472038731,2.706168622523819e-16,0.8,1.0,0.15,12.0,-0.9188383722613479,"[0.55,0.550120557020412,0.5502377399176469,0.5503522446431142,0.5504647535182643,0.5505759383234305,0.5506864633394476]",0.550120557020412,0.550120557020412,reference,,0.06010010838508606,25,solved,solved,train,voyage_037,probe_005,0.07534423096442372,0.7316443064828173,0.11178007163728797,6.976317681887527e-05
4,fc_smoothing,0.0668995116918154,0.55,5007,-0.10335612325877719,1.1035038964495295e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004095235327998696,rapidly_falling,low,-279.8966438767412,"[-279.8966438767412,-279.81060659156634,-279.74187095941875,-279.69040483684614,-279.6561611250755,-279.6390777718196]",279.8966438767412,"[279.8966438767412,279.81060659156634,279.74187095941863,279.6904048368461,279.6561611250754,279.63907777181964]",-279.9331004883082,280.0,medium,0.4467879472038731,4.04719660562769e-14,0.1,40.0,0.25,12.0,-0.1964695654968672,"[0.549999999999998,0.5501245978649696,0.5502491574298697,0.550373686396643,0.5504981924529271,0.5506226832653938,0.5507471664730913]",0.5501245978649737,0.5501245978649696,reference,,0.06740004755556583,50,solved,solved,train,voyage_037,probe_005,0.08047967132382408,9.27299324226002e-05,0.11582264602643173,7.451821418876398e-05
0,candidate_C,0.0668995116918154,0.55,5007,-0.5788756076082109,1.1273379595389343e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00882898197811904,rapidly_falling,low,-559.4211243923918,"[-559.4211243923921,-558.939201645776,-558.5541069620681,-558.2656670543984,-558.0736601664755,-557.9778160749753]",559.4211243923918,"[559.4211243923918,558.9392016457758,558.5541069620679,558.265667054398,558.0736601664753,557.9778160749754]",-559.9331004883081,560.0,high,0.4467879472038731,1.1093556628871681e-15,0.4,20.0,0.25,12.0,-0.5744011507459418,"[0.55,0.5502490300589353,0.5504978455867334,0.5507464896870549,0.5509950053864202,0.551243435612634,0.5514918231732087]",0.5502490300589354,0.5502490300589353,reference,,0.07509998977184296,25,solved,solved,train,voyage_037,probe_006,0.3214907897933595,0.002908827856629994,0.24970385643873613,0.00029767665721615956
1,hydrogen_economy,0.0668995116918154,0.55,5007,-1.3330477636312708,2.330512732428181e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.008815344279249175,rapidly_falling,low,-558.6669522363687,"[-558.6669522363686,-557.5571581684133,-556.670250992555,-556.0058152558986,-555.5633869190872,-555.342453366937]",558.6669522363687,"[558.6669522363687,557.5571581684134,556.6702509925552,556.0058152558988,555.5633869190874,555.342453366937]",-559.9331004883081,560.0,high,0.4467879472038731,9.639401352121227e-16,0.25,8.0,0.4,8.0,-0.585665066301807,"[0.55,0.5502486943341508,0.550496894636042,0.5507447001252659,0.5509922098364731,0.551239522597744,0.5514867370089651]",0.5502486943341508,0.5502486943341508,reference,,0.06660004146397114,25,solved,solved,train,voyage_037,probe_006,0.32062455161188474,0.015425489063561912,0.24931815104153462,0.0002968745848257027
2,soc_regulation,0.0668995116918154,0.55,5007,-0.8519615182126472,8.687558334658339e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.008824043223203138,rapidly_falling,low,-559.1480384817874,"[-559.1480384817872,-558.4397515960052,-557.8747558610647,-557.4524510264312,-557.172020202975,-557.0324298884484]",559.1480384817874,"[559.1480384817874,558.4397515960055,557.874755861065,557.4524510264313,557.1720202029751,557.0324298884482]",-559.9331004883081,560.0,high,0.4467879472038731,6.443109934473057e-14,0.45,15.0,0.25,36.0,-0.5773392338159594,"[0.5499999999999968,0.5502489084929075,0.550497501687172,0.5507458433698025,0.5509939970606085,0.5512420259157558,0.55148999263134]",0.550248908492914,0.5502489084929075,reference,,0.06769993342459202,50,solved,solved,train,voyage_037,probe_006,0.3211769897867669,0.006300680803083323,0.24956417712445475,0.00029738610165446866
3,fast_fc_response,0.0668995116918154,0.55,5007,-16.889454439397127,3.5117317747541005e-14,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.008535082603787918,rapidly_falling,low,-543.1105455606029,"[-543.1105455606029,-529.1671067692339,-518.1002439344303,-509.8534377514966,-504.38283690894775,-501.6570615211546]",543.1105455606029,"[543.1105455606029,529.1671067692339,518.1002439344302,509.85343775149664,504.38283690894775,501.65706152115473]",-559.9331004883081,560.0,high,0.4467879472038731,5.430208728468007e-16,0.8,1.0,0.15,12.0,-3.020849822038601,"[0.55,0.5502417692955665,0.5504773315760015,0.5507079673683513,0.550934932039715,0.5511594614364871,0.5513827774360959]",0.5502417692955666,0.5502417692955665,reference,,0.05339994095265865,25,solved,solved,train,voyage_037,probe_006,0.3030172015729123,2.4761603408027026,0.24139170818004776,0.00028057148293790675
4,fc_smoothing,0.0668995116918154,0.55,5007,-0.14086213060954833,2.829486103546819e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00883690472846389,rapidly_falling,low,-559.8591378693905,"[-559.8591378693905,-559.7419362690977,-559.6483620052542,-559.578351724587,-559.5318119181815,-559.5086189233066]",559.8591378693905,"[559.8591378693905,559.7419362690977,559.6483620052542,559.5783517245868,559.5318119181812,559.5086189233067]",-559.9331004883081,560.0,high,0.4467879472038731,8.096388143252753e-14,0.1,40.0,0.25,12.0,-0.5723927399870858,"[0.549999999999996,0.5502492250435591,0.5504983979140493,0.5507475291293293,0.5509966291790643,0.5512457085112928,0.5514947775190044]",0.5502492250435672,0.5502492250435591,reference,,0.06269989535212517,50,solved,solved,train,voyage_037,probe_006,0.32199442621615837,0.00017224079722101955,0.2499279299864694,0.0002981429872370761
