parent_voyage,start_time,end_time,abnormal_rows,duration_s,reason,soc_drop_pct,raw_points,min_load_kw,mean_load_kw,mean_fc_kw,mean_battery_kw,speed_min_kn,speed_max_kn,speed_unavailable_points,propulsion_positive_points
5月30日05_00_5月30日17_00,2024-05-30T12:17:59,2024-05-30T12:28:29,,630.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,22,-128.7203,-99.43157881818182,66.13636363636364,-165.56794245454546,,,22.0,21.0
5月30日05_00_5月30日17_00,2024-05-30T15:42:30,2024-05-30T15:44:30,,120.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,5,-33.72563,-25.684578,51.6,-77.28457800000001,,,5.0,5.0
5月30日05_00_5月30日17_00,2024-05-30T15:45:30,2024-05-30T15:46:30,,60.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,3,-28.649500000000003,-16.58986,4.0,-20.58986,,,3.0,3.0
5月30日05_00_5月30日17_00,2024-05-30T15:48:30,2024-05-30T15:51:30,,180.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,7,-43.78389,-26.80081142857143,0.0,-26.80081142857143,,,7.0,7.0
5月30日05_00_5月30日17_00,2024-05-30T16:05:30,2024-05-30T16:59:30,,3240.0,"physical_inconsistency: sustained negative FC_plus_battery balance while moving, propelling, or without stationary evidence",,109,-0.096502,-0.07815385321100918,0.0,-0.07815385321100918,,,109.0,0.0
6月13日08_00_6月13日14_00,2024-06-13T08:00:08,2024-06-13T08:07:38,16.0,450.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.23333333333332007,16,,,,,,,,
6月13日08_00_6月13日14_00,2024-06-13T13:41:39,2024-06-13T13:45:09,8.0,210.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.09999999999999432,8,,,,,,,,
6月14日08_00_6月15日18_00,2024-06-15T09:17:48,2024-06-15T09:20:18,6.0,150.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.05833333333332291,6,,,,,,,,
7月9日08_00_7月9日16_00,2024-07-09T08:24:18,2024-07-09T08:25:18,3.0,60.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.05833333333333712,3,,,,,,,,
7月9日08_00_7月9日16_00,2024-07-09T15:49:20,2024-07-09T15:53:20,9.0,240.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.19166666666666998,9,,,,,,,,
7月24日14_00_7月24日17_00,2024-07-24T16:47:33,2024-07-24T16:52:33,11.0,300.0,fc_and_battery_near_zero_with_positive_propulsion_and_soc_drop,0.25833333333333997,11,,,,,,,,
