parent_voyage,start_time,end_time,baseline_duration_s,baseline_mean_battery_kw,recovered_from_shore,final_normal_points,final_normal_duration_s
7月23日12_00_7月23日15_00,2024-07-23T12:00:01,2024-07-23T12:16:01,960.0,-0.0601957272727272,True,0,0.0
7月23日12_00_7月23日15_00,2024-07-23T14:31:01,2024-07-23T14:48:01,1020.0,-0.0306474285714285,True,0,0.0
7月23日12_00_7月23日15_00,2024-07-23T14:49:01,2024-07-23T14:52:31,210.0,-0.0303325,True,0,0.0
7月23日12_00_7月23日15_00,2024-07-23T14:53:01,2024-07-23T14:59:31,390.0,-0.0285496428571428,True,0,0.0
7月24日14_00_7月24日17_00,2024-07-24T14:00:03,2024-07-24T14:06:33,390.0,-0.0545837857142857,True,0,0.0
7月25日08_00_7月25日17_00,2024-07-25T08:00:04,2024-07-25T08:17:04,1020.0,-0.0531405999999999,True,0,0.0
7月25日08_00_7月25日17_00,2024-07-25T16:49:05,2024-07-25T16:59:35,630.0,-0.0389883181818181,True,0,0.0
7月26日11_00_7月26日13_00,2024-07-26T11:00:07,2024-07-26T11:04:07,240.0,-0.0541011111111111,True,0,0.0
7月26日11_00_7月26日13_00,2024-07-26T12:18:37,2024-07-26T12:59:37,2460.0,-0.0363538313253012,True,0,0.0
7月29日14_00_7月29日17_00,2024-07-29T14:00:13,2024-07-29T14:20:43,1230.0,-0.0723808571428571,True,0,0.0
7月29日14_00_7月29日17_00,2024-07-29T16:37:43,2024-07-29T16:40:13,150.0,-0.0306213333333333,True,0,0.0
7月29日14_00_7月29日17_00,2024-07-29T16:41:13,2024-07-29T16:59:43,1110.0,-0.0350423684210526,True,0,0.0
7月29日14_00_7月29日17_00,2024-07-29T16:19:43,2024-07-29T16:37:13,1050.0,-0.0282584444444444,True,0,0.0
7月31日08_00_7月31日11_00,2024-07-31T08:00:17,2024-07-31T08:24:47,1470.0,-0.0718983,True,0,0.0
7月31日08_00_7月31日11_00,2024-07-31T10:32:47,2024-07-31T10:59:47,1620.0,-0.0365770363636363,True,0,0.0
