parent,sample_id,timestamp,soc,fc_power_kw,previous_fc_power_kw,battery_power_kw,load_power_kw,recent_load_mean_kw,recent_load_population_std_kw,recent_load_trend_kw_per_s,base_load_kw,recent_delta_soc,delta_load_kw,delta_fc_kw,measured_power_balance_residual_kw,history_sample_count,speed_kn
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:41:15+08:00,0.8222499999999999,337.0,336.0,188.335,525.335,526.8771666666667,3.850036918726329,0.013166095238095641,527.1445739115645,-0.004166666666666763,-1.8095739115644847,1.0,2.842170943040401e-14,6,8.7
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:41:45+08:00,0.82125,337.0,337.0,197.855,534.855,528.3348833333333,4.817370687562773,0.04603266666666687,529.330238289771,-0.004416666666666624,5.524761710228972,0.0,2.842170943040401e-14,6,8.7
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:42:15+08:00,0.8204166666666667,338.0,337.0,205.3001,543.3001,531.4338833333334,6.981036186798418,0.09310371428571432,533.2902566802351,-0.0043333333333333,10.009843319764968,1.0,5.684341886080802e-14,6,8.9
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:42:45+08:00,0.8196666666666667,337.0,338.0,185.3875,522.3875,531.2807000000001,7.165341625724019,-0.004156190476190615,530.1996665329559,-0.004250000000000087,-7.812166532955871,-1.0,5.684341886080802e-14,6,9.1
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:43:15+08:00,0.8188333333333334,337.0,337.0,181.2902,518.2902,528.4705666666666,8.311091943233986,-0.040213714285714346,526.8237056630936,-0.0043333333333333,-8.533505663093592,0.0,2.842170943040401e-14,6,9.1
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:43:45+08:00,0.8180000000000001,338.0,337.0,196.1613,534.1613,529.7215166666666,8.506336679091387,-0.025214761904762132,528.9036839133176,-0.004249999999999865,5.257616086682333,1.0,-2.842170943040401e-14,6,8.9
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:44:15+08:00,0.81725,336.0,338.0,179.0605,515.0605,528.0091,10.101618998787597,-0.12427257142857148,524.9795747119235,-0.0040000000000000036,-9.919074711923486,-2.0,5.684341886080802e-14,6,8.7
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:44:45+08:00,0.8165,336.0,336.0,178.5064,514.5064,524.6176666666667,10.635646654320347,-0.14293180952380985,522.0107576022028,-0.003916666666666679,-7.504357602202845,0.0,-2.842170943040401e-14,6,8.5
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:45:15+08:00,0.8154166666666667,337.0,336.0,195.9113,532.9113,522.8862,7.963092534101711,0.02111123809523774,525.1007200697412,-0.004249999999999976,7.810579930258768,1.0,-2.842170943040401e-14,6,8.6
6月5日08_00_6月5日19_00,zero_boundary_033,2024-06-05 09:45:45+08:00,0.8144166666666667,338.0,337.0,199.5922,537.5922,525.4203166666666,9.643238623238675,0.08781514285714291,528.6416635145655,-0.004416666666666735,8.950536485434554,1.0,5.684341886080802e-14,6,8.7
