soc_regime,load_regime,transition_regime,action_id,action_name,state_action_count,mean_p_fc0_kw,mean_p_batt0_kw,mean_soc1,mean_common_cost,mean_soc_deadband_component,winner_count
below_soft_range,load_high,stable,0,balanced,28,600.0000000000258,54.38963189566204,0.46997586765085214,6.499983720924379,3.1321929535172086,14
below_soft_range,load_high,stable,1,hydrogen_economy,28,599.6609105770648,54.72872158927048,0.46997563753380195,6.501175917701125,3.1323536134552867,0
below_soft_range,load_high,stable,2,fc_smoothing,28,600.0000000000022,54.3896321346081,0.46997579510582715,6.50001388690187,3.1322217738444174,0
below_soft_range,load_high,stable,3,soc_protection,28,600.0000000055388,54.38963059714778,0.4699765088421576,6.499944465985506,3.1321556986485164,14
below_soft_range,load_low,rapid_fall,0,balanced,26,345.5481614042023,-163.61990441327822,0.4700729150214747,6.384198937597518,3.0832980577021516,0
below_soft_range,load_low,rapid_fall,1,hydrogen_economy,26,344.72562517556406,-162.79736791770767,0.47007247072395014,6.383826766075552,3.0837616485246864,0
below_soft_range,load_low,rapid_fall,2,fc_smoothing,26,345.28351835417044,-163.35526112762224,0.47007272561293745,6.381808858902202,3.083505798442566,26
below_soft_range,load_low,rapid_fall,3,soc_protection,26,348.24983691672753,-166.32158115097445,0.4700747285742236,6.5191050367557875,3.0816078858043596,0
below_soft_range,load_low,rapid_rise,0,balanced,26,326.23446732067373,-161.86689925670072,0.470072134667673,6.375555871783133,3.083685638914216,0
below_soft_range,load_low,rapid_rise,1,hydrogen_economy,26,325.4159354667069,-161.04836713577384,0.47007169214458255,6.375109253183732,3.0841474008661645,0
below_soft_range,load_low,rapid_rise,2,fc_smoothing,26,325.9679351752128,-161.60036687559116,0.47007194441073735,6.37315041369917,3.083894275316908,26
below_soft_range,load_low,rapid_rise,3,soc_protection,26,328.94139832491294,-164.5738314865502,0.47007395076733555,6.510866949905656,3.081992870520393,0
below_soft_range,load_low,stable,0,balanced,26,256.6166149593349,13.575734054456131,0.46999403602141887,6.343795265812236,3.1228072122677903,0
below_soft_range,load_low,stable,1,hydrogen_economy,26,255.8082587930997,14.384090490427262,0.46999359721553446,6.340672931567363,3.1232687886566604,13
below_soft_range,load_low,stable,2,fc_smoothing,26,256.2261303101303,13.966218941758914,0.46999378984174867,6.34009204880196,3.1230759582048724,13
below_soft_range,load_low,stable,3,soc_protection,26,259.78535044789567,10.406997297533668,0.46999607789580305,6.515624289166746,3.1208811997328656,0
below_soft_range,load_medium,rapid_fall,0,balanced,26,355.10373659267526,89.97813188982104,0.46996002533795617,6.403947420884022,3.139986939964756,0
below_soft_range,load_medium,rapid_fall,1,hydrogen_economy,26,354.27281191007177,90.80905684336898,0.4699595761318304,6.399883898934472,3.140461263829603,13
