parent,split,aligned_measured_points,cubic_gap_count,cubic_imputed_points,cubic_max_gap_seconds,cubic_warning_count,cubic_warning_messages,duplicate_count,duplicate_conflict_count,channel_span_violation_count,ais_present_points,trimmed_anchor_points,pchip_output_points,pchip_floating_negative_zeroed
4月17日07_00_4月17日17_00,train,948,1,12,390.0,4,2024-04-17T09:46:41+08:00:BATTERY_OVERSHOOT|2024-04-17T09:47:11+08:00:BATTERY_OVERSHOOT|2024-04-17T09:47:41+08:00:BATTERY_OVERSHOOT|2024-04-17T09:48:11+08:00:BATTERY_OVERSHOOT,0,0,0,948,833,24937,1
4月18日12_00_4月18日18_00,test,708,1,12,390.0,2,2024-04-18T12:17:43+08:00:BATTERY_OVERSHOOT|2024-04-18T12:18:13+08:00:BATTERY_OVERSHOOT,0,0,0,658,597,17874,1
4月22日14_00_4月22日17_00,train,348,1,12,390.0,3,2024-04-22T14:01:50+08:00:BATTERY_OVERSHOOT|2024-04-22T14:02:20+08:00:BATTERY_OVERSHOOT|2024-04-22T14:02:50+08:00:BATTERY_OVERSHOOT,0,0,0,347,345,10309,1
4月25日08_00_4月25日18_00,train,1152,4,48,390.0,0,,0,0,0,1151,1037,31073,0
4月28日08_00_4月28日12_00,train,456,2,24,390.0,0,,0,0,0,456,339,10116,0
4月30日08_00_4月30日15_00,train,825,1,15,480.0,2,2024-04-30T08:26:40+08:00:BATTERY_OVERSHOOT|2024-04-30T08:27:10+08:00:BATTERY_OVERSHOOT,0,0,0,825,704,21071,0
5月7日08_00_5月7日18_00,train,1174,2,26,450.0,13,2024-05-07T08:51:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:51:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:52:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:52:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:53:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:53:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:54:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:54:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:55:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:55:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:56:01+08:00:BATTERY_OVERSHOOT|2024-05-07T08:56:31+08:00:BATTERY_OVERSHOOT|2024-05-07T08:57:01+08:00:BATTERY_OVERSHOOT,0,0,0,997,994,29774,1
5月8日08_00_5月8日17_00,test,1049,3,31,540.0,2,2024-05-08T08:46:04+08:00:BATTERY_OVERSHOOT|2024-05-08T10:10:35+08:00:FC_OVERSHOOT,0,0,0,953,912,27311,0
5月9日08_00_5月9日17_00,validation,1054,2,26,450.0,8,2024-05-09T14:46:08+08:00:BATTERY_OVERSHOOT|2024-05-09T14:46:38+08:00:BATTERY_OVERSHOOT|2024-05-09T14:47:08+08:00:BATTERY_OVERSHOOT|2024-05-09T14:47:38+08:00:BATTERY_OVERSHOOT|2024-05-09T14:48:08+08:00:BATTERY_OVERSHOOT|2024-05-09T14:48:38+08:00:BATTERY_OVERSHOOT|2024-05-09T14:49:08+08:00:BATTERY_OVERSHOOT|2024-05-09T14:49:38+08:00:BATTERY_OVERSHOOT,0,0,0,904,956,28639,0
5月10日08_00_5月10日10_00,train,228,1,12,390.0,0,,118044,0,0,199,120,3559,1
5月11日08_00_5月11日11_00,train,347,1,13,420.0,0,,0,0,0,341,235,6997,0
5月13日08_00_5月13日11_00,train,334,2,26,480.0,3,2024-05-13T10:16:51+08:00:BATTERY_OVERSHOOT|2024-05-13T10:17:21+08:00:BATTERY_OVERSHOOT|2024-05-13T10:17:51+08:00:BATTERY_OVERSHOOT,0,0,0,334,184,5491,1
5月14日12_00_5月14日19_00,train,815,2,25,420.0,0,,0,0,0,815,743,22261,1
5月15日08_00_5月15日17_00,validation,1055,2,25,420.0,4,2024-05-15T08:19:25+08:00:BATTERY_OVERSHOOT|2024-05-15T08:19:55+08:00:BATTERY_OVERSHOOT|2024-05-15T08:20:25+08:00:BATTERY_OVERSHOOT|2024-05-15T08:20:55+08:00:BATTERY_OVERSHOOT,0,0,0,1055,1032,30932,1
5月17日08_00_5月17日18_00,train,1154,4,46,390.0,18,2024-05-17T11:34:29+08:00:BATTERY_OVERSHOOT|2024-05-17T11:34:59+08:00:BATTERY_OVERSHOOT|2024-05-17T11:35:29+08:00:BATTERY_OVERSHOOT|2024-05-17T11:35:59+08:00:BATTERY_OVERSHOOT|2024-05-17T11:36:29+08:00:BATTERY_OVERSHOOT|2024-05-17T11:36:59+08:00:BATTERY_OVERSHOOT|2024-05-17T11:37:29+08:00:BATTERY_OVERSHOOT|2024-05-17T11:37:59+08:00:BATTERY_OVERSHOOT|2024-05-17T11:38:29+08:00:BATTERY_OVERSHOOT|2024-05-17T11:38:59+08:00:BATTERY_OVERSHOOT|2024-05-17T11:39:29+08:00:BATTERY_OVERSHOOT|2024-05-17T15:41:59+08:00:BATTERY_OVERSHOOT|2024-05-17T15:42:29+08:00:BATTERY_OVERSHOOT|2024-05-17T15:42:59+08:00:BATTERY_OVERSHOOT|2024-05-17T15:43:29+08:00:BATTERY_OVERSHOOT|2024-05-17T15:43:59+08:00:BATTERY_OVERSHOOT|2024-05-17T15:44:29+08:00:BATTERY_OVERSHOOT|2024-05-17T15:44:59+08:00:BATTERY_OVERSHOOT,0,0,0,1153,1154,34592,1
5月20日08_00_5月20日18_00,train,1141,4,59,600.0,19,2024-05-20T08:22:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:23:04+08:00:BATTERY_OVERSHOOT|2024-05-20T08:23:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:24:04+08:00:BATTERY_OVERSHOOT|2024-05-20T08:24:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:25:04+08:00:BATTERY_OVERSHOOT|2024-05-20T08:25:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:26:04+08:00:BATTERY_OVERSHOOT|2024-05-20T08:26:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:27:04+08:00:BATTERY_OVERSHOOT|2024-05-20T08:27:34+08:00:BATTERY_OVERSHOOT|2024-05-20T08:28:04+08:00:BATTERY_OVERSHOOT|2024-05-20T15:21:04+08:00:BATTERY_OVERSHOOT|2024-05-20T15:21:34+08:00:BATTERY_OVERSHOOT|2024-05-20T15:22:04+08:00:BATTERY_OVERSHOOT|2024-05-20T15:22:34+08:00:BATTERY_OVERSHOOT|2024-05-20T15:23:04+08:00:BATTERY_OVERSHOOT|2024-05-20T15:23:34+08:00:BATTERY_OVERSHOOT|2024-05-20T15:24:04+08:00:BATTERY_OVERSHOOT,0,0,0,1024,1104,33087,1
5月21日05_00_5月21日11_00,validation,696,2,24,420.0,6,2024-05-21T05:31:05+08:00:BATTERY_OVERSHOOT|2024-05-21T05:31:35+08:00:BATTERY_OVERSHOOT|2024-05-21T05:32:05+08:00:BATTERY_OVERSHOOT|2024-05-21T05:32:35+08:00:BATTERY_OVERSHOOT|2024-05-21T05:33:05+08:00:BATTERY_OVERSHOOT|2024-05-21T05:33:35+08:00:BATTERY_OVERSHOOT,0,0,0,695,614,18392,1
5月24日08_00_5月24日19_00,train,1069,1,11,361.0,0,,0,0,0,1069,1016,30448,0
5月27日08_00_5月27日19_00,train,1277,4,45,390.0,0,,0,0,0,1275,1190,35612,0
5月29日14_00_5月29日17_00,train,329,2,31,600.0,0,,0,0,0,329,301,9001,1
5月30日05_00_5月30日17_00,train,1414,2,25,420.0,0,,30423,0,0,1414,1294,38793,0
6月4日08_00_6月4日12_00,validation,458,2,22,360.0,2,2024-06-04T11:16:13+08:00:BATTERY_OVERSHOOT|2024-06-04T11:16:43+08:00:BATTERY_OVERSHOOT,0,0,0,458,329,9842,1
6月5日08_00_6月5日19_00,train,1273,4,47,420.0,17,2024-06-05T14:27:45+08:00:FC_OVERSHOOT|2024-06-05T14:28:15+08:00:FC_OVERSHOOT|2024-06-05T14:28:45+08:00:FC_OVERSHOOT|2024-06-05T14:29:15+08:00:FC_OVERSHOOT|2024-06-05T14:29:45+08:00:FC_OVERSHOOT|2024-06-05T14:29:45+08:00:BATTERY_OVERSHOOT|2024-06-05T14:30:15+08:00:FC_OVERSHOOT|2024-06-05T14:30:15+08:00:BATTERY_OVERSHOOT|2024-06-05T14:30:45+08:00:FC_OVERSHOOT|2024-06-05T14:30:45+08:00:BATTERY_OVERSHOOT|2024-06-05T14:31:15+08:00:FC_OVERSHOOT|2024-06-05T14:31:15+08:00:BATTERY_OVERSHOOT|2024-06-05T14:31:45+08:00:FC_OVERSHOOT|2024-06-05T14:31:45+08:00:BATTERY_OVERSHOOT|2024-06-05T14:32:15+08:00:FC_OVERSHOOT|2024-06-05T14:32:15+08:00:BATTERY_OVERSHOOT|2024-06-05T14:32:45+08:00:BATTERY_OVERSHOOT,0,0,0,1272,1195,35821,0
6月7日00_00_6月7日24_00,train,2819,5,61,420.0,24,2024-06-07T15:14:20+08:00:FC_OVERSHOOT|2024-06-07T15:14:50+08:00:FC_OVERSHOOT|2024-06-07T15:15:20+08:00:FC_OVERSHOOT|2024-06-07T15:15:20+08:00:BATTERY_OVERSHOOT|2024-06-07T15:15:50+08:00:FC_OVERSHOOT|2024-06-07T15:15:50+08:00:BATTERY_OVERSHOOT|2024-06-07T15:16:20+08:00:FC_OVERSHOOT|2024-06-07T15:16:20+08:00:BATTERY_OVERSHOOT|2024-06-07T15:16:50+08:00:FC_OVERSHOOT|2024-06-07T15:16:50+08:00:BATTERY_OVERSHOOT|2024-06-07T15:17:20+08:00:FC_OVERSHOOT|2024-06-07T15:17:20+08:00:BATTERY_OVERSHOOT|2024-06-07T15:17:50+08:00:FC_OVERSHOOT|2024-06-07T15:17:50+08:00:BATTERY_OVERSHOOT|2024-06-07T15:18:20+08:00:FC_OVERSHOOT|2024-06-07T15:18:20+08:00:BATTERY_OVERSHOOT|2024-06-07T15:18:50+08:00:FC_OVERSHOOT|2024-06-07T15:18:50+08:00:BATTERY_OVERSHOOT|2024-06-07T15:19:20+08:00:FC_OVERSHOOT|2024-06-07T15:19:20+08:00:BATTERY_OVERSHOOT|2024-06-07T15:19:50+08:00:FC_OVERSHOOT|2024-06-07T15:19:50+08:00:BATTERY_OVERSHOOT|2024-06-07T15:20:20+08:00:FC_OVERSHOOT|2024-06-07T15:20:20+08:00:BATTERY_OVERSHOOT,0,0,0,2576,1649,49424,0
6月11日08_00_6月11日11_00,test,334,2,26,420.0,0,,0,0,0,334,311,9301,0
6月12日14_00_6月12日17_00,validation,332,2,28,510.0,5,2024-06-12T16:22:06+08:00:BATTERY_OVERSHOOT|2024-06-12T16:22:36+08:00:BATTERY_OVERSHOOT|2024-06-12T16:23:06+08:00:BATTERY_OVERSHOOT|2024-06-12T16:23:36+08:00:BATTERY_OVERSHOOT|2024-06-12T16:24:06+08:00:BATTERY_OVERSHOOT,0,0,0,332,223,6662,0
6月14日08_00_6月15日18_00,train,3969,10,111,420.0,10,2024-06-14T19:38:16+08:00:BATTERY_OVERSHOOT|2024-06-14T19:38:46+08:00:BATTERY_OVERSHOOT|2024-06-14T19:39:16+08:00:BATTERY_OVERSHOOT|2024-06-14T19:39:46+08:00:BATTERY_OVERSHOOT|2024-06-14T19:40:16+08:00:BATTERY_OVERSHOOT|2024-06-14T19:40:46+08:00:BATTERY_OVERSHOOT|2024-06-14T19:41:16+08:00:BATTERY_OVERSHOOT|2024-06-14T19:41:46+08:00:BATTERY_OVERSHOOT|2024-06-14T19:42:16+08:00:BATTERY_OVERSHOOT|2024-06-14T19:42:46+08:00:BATTERY_OVERSHOOT,0,0,0,3716,3844,115296,1
6月17日09_00_6月17日16_00,train,817,2,23,390.0,0,,0,0,0,816,704,21092,0
6月20日08_00_6月20日16_00,train,937,2,23,389.0,10,2024-06-20T09:10:38+08:00:BATTERY_OVERSHOOT|2024-06-20T09:11:08+08:00:BATTERY_OVERSHOOT|2024-06-20T09:11:38+08:00:BATTERY_OVERSHOOT|2024-06-20T09:12:08+08:00:BATTERY_OVERSHOOT|2024-06-20T09:12:38+08:00:BATTERY_OVERSHOOT|2024-06-20T09:13:08+08:00:BATTERY_OVERSHOOT|2024-06-20T09:13:38+08:00:BATTERY_OVERSHOOT|2024-06-20T09:14:08+08:00:BATTERY_OVERSHOOT|2024-06-20T09:14:38+08:00:BATTERY_OVERSHOOT|2024-06-20T09:15:08+08:00:BATTERY_OVERSHOOT,0,0,0,770,681,20402,1
6月26日08_00_6月26日13_00,train,556,3,44,630.0,24,2024-06-26T08:11:58+08:00:BATTERY_OVERSHOOT|2024-06-26T08:12:28+08:00:BATTERY_OVERSHOOT|2024-06-26T08:12:58+08:00:BATTERY_OVERSHOOT|2024-06-26T08:13:28+08:00:BATTERY_OVERSHOOT|2024-06-26T08:13:58+08:00:BATTERY_OVERSHOOT|2024-06-26T08:14:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:51:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:52:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:52:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:53:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:53:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:54:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:54:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:55:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:55:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:56:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:56:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:57:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:57:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:58:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:58:58+08:00:BATTERY_OVERSHOOT|2024-06-26T10:59:28+08:00:BATTERY_OVERSHOOT|2024-06-26T10:59:58+08:00:BATTERY_OVERSHOOT|2024-06-26T11:00:28+08:00:BATTERY_OVERSHOOT,0,0,0,555,519,15541,0
6月28日08_00_6月28日15_00,train,815,2,25,450.0,12,2024-06-28T08:52:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:53:03+08:00:BATTERY_OVERSHOOT|2024-06-28T08:53:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:54:03+08:00:BATTERY_OVERSHOOT|2024-06-28T08:54:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:55:03+08:00:BATTERY_OVERSHOOT|2024-06-28T08:55:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:56:03+08:00:BATTERY_OVERSHOOT|2024-06-28T08:56:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:57:03+08:00:BATTERY_OVERSHOOT|2024-06-28T08:57:33+08:00:BATTERY_OVERSHOOT|2024-06-28T08:58:03+08:00:BATTERY_OVERSHOOT,0,0,0,815,656,19652,0
6月30日05_00_6月30日11_00,train,697,2,23,390.0,7,2024-06-30T05:21:40+08:00:BATTERY_OVERSHOOT|2024-06-30T05:22:10+08:00:BATTERY_OVERSHOOT|2024-06-30T05:22:40+08:00:BATTERY_OVERSHOOT|2024-06-30T05:23:10+08:00:BATTERY_OVERSHOOT|2024-06-30T05:23:40+08:00:BATTERY_OVERSHOOT|2024-06-30T05:24:10+08:00:BATTERY_OVERSHOOT|2024-06-30T05:24:40+08:00:BATTERY_OVERSHOOT,0,0,0,697,625,18722,0
7月2日14_00_7月2日18_00,validation,452,2,28,450.0,0,,0,0,0,452,393,11762,0
7月3日08_00_7月3日16_00,train,935,2,25,421.0,8,2024-07-03T08:24:52+08:00:BATTERY_OVERSHOOT|2024-07-03T08:25:22+08:00:BATTERY_OVERSHOOT|2024-07-03T08:25:52+08:00:BATTERY_OVERSHOOT|2024-07-03T08:26:22+08:00:BATTERY_OVERSHOOT|2024-07-03T08:26:52+08:00:BATTERY_OVERSHOOT|2024-07-03T08:27:22+08:00:BATTERY_OVERSHOOT|2024-07-03T08:27:52+08:00:BATTERY_OVERSHOOT|2024-07-03T08:28:22+08:00:BATTERY_OVERSHOOT,0,0,0,872,817,24482,0
7月10日08_00_7月10日18_00,train,1174,3,25,390.0,4,2024-07-10T17:55:32+08:00:BATTERY_OVERSHOOT|2024-07-10T17:56:02+08:00:BATTERY_OVERSHOOT|2024-07-10T17:56:32+08:00:BATTERY_OVERSHOOT|2024-07-10T17:57:02+08:00:BATTERY_OVERSHOOT,0,0,0,1047,1090,32680,0
7月11日06_00_7月12日10_00,train,3325,3,35,390.0,35,2024-07-11T06:12:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:13:03+08:00:BATTERY_OVERSHOOT|2024-07-11T06:13:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:14:03+08:00:BATTERY_OVERSHOOT|2024-07-11T06:14:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:15:03+08:00:BATTERY_OVERSHOOT|2024-07-11T06:15:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:16:03+08:00:BATTERY_OVERSHOOT|2024-07-11T06:16:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:17:03+08:00:BATTERY_OVERSHOOT|2024-07-11T06:17:33+08:00:BATTERY_OVERSHOOT|2024-07-11T06:18:03+08:00:BATTERY_OVERSHOOT|2024-07-12T08:14:05+08:00:FC_OVERSHOOT|2024-07-12T08:14:35+08:00:FC_OVERSHOOT|2024-07-12T08:15:05+08:00:FC_OVERSHOOT|2024-07-12T08:15:35+08:00:FC_OVERSHOOT|2024-07-12T08:16:05+08:00:FC_OVERSHOOT|2024-07-12T08:16:05+08:00:BATTERY_OVERSHOOT|2024-07-12T08:16:35+08:00:FC_OVERSHOOT|2024-07-12T08:16:35+08:00:BATTERY_OVERSHOOT|2024-07-12T08:17:05+08:00:FC_OVERSHOOT|2024-07-12T08:17:05+08:00:BATTERY_OVERSHOOT|2024-07-12T08:17:35+08:00:FC_OVERSHOOT|2024-07-12T08:17:35+08:00:BATTERY_OVERSHOOT|2024-07-12T08:18:05+08:00:FC_OVERSHOOT|2024-07-12T08:18:05+08:00:BATTERY_OVERSHOOT|2024-07-12T08:18:35+08:00:FC_OVERSHOOT|2024-07-12T08:18:35+08:00:BATTERY_OVERSHOOT|2024-07-12T08:19:05+08:00:FC_OVERSHOOT|2024-07-12T08:19:05+08:00:BATTERY_OVERSHOOT|2024-07-12T09:14:05+08:00:BATTERY_OVERSHOOT|2024-07-12T09:14:35+08:00:BATTERY_OVERSHOOT|2024-07-12T09:15:05+08:00:BATTERY_OVERSHOOT|2024-07-12T09:15:35+08:00:BATTERY_OVERSHOOT|2024-07-12T09:16:05+08:00:BATTERY_OVERSHOOT,0,0,0,3324,3245,97323,0
7月15日14_00_7月15日16_00,validation,218,2,22,360.0,0,,0,0,0,216,197,5881,1
7月18日08_00_7月18日12_00,train,455,2,25,420.0,3,2024-07-18T08:44:51+08:00:BATTERY_OVERSHOOT|2024-07-18T08:45:21+08:00:BATTERY_OVERSHOOT|2024-07-18T08:45:51+08:00:BATTERY_OVERSHOOT,0,0,0,455,287,8581,0
7月23日12_00_7月23日15_00,train,335,2,25,450.0,0,,0,0,0,276,270,8071,0
7月25日08_00_7月25日17_00,train,1053,2,27,480.0,0,,0,0,0,1052,1024,30692,0
7月26日11_00_7月26日13_00,train,215,2,25,420.0,0,,0,0,0,215,146,4351,1
7月29日14_00_7月29日17_00,train,334,2,26,450.0,0,,0,0,0,334,238,7111,0
7月31日08_00_7月31日11_00,train,335,2,25,420.0,0,,0,0,0,334,256,7651,0
