parent,start_time,end_time,duration_s,point_count,exclusion_reason
4月12日08_00_4月12日16_00,2024-04-12 10:55:33,2024-04-12 11:02:33,450,15,ambiguous_external_supply
4月12日08_00_4月12日16_00,2024-04-12 11:03:03,2024-04-12 12:01:33,3540,118,long_stop_dwell_core
4月12日08_00_4月12日16_00,2024-04-12 12:22:33,2024-04-12 13:10:03,2880,96,long_stop_dwell_core
4月12日08_00_4月12日16_00,2024-04-12 13:10:33,2024-04-12 13:14:34,271,9,ambiguous_external_supply
4月12日08_00_4月12日16_00,2024-04-12 13:15:03,2024-04-12 15:12:33,7080,236,quality_cut_without_natural_transition
4月12日08_00_4月12日16_00,2024-04-12 15:18:33,2024-04-12 15:59:33,2490,83,confirmed_shore
4月15日08_00_4月15日17_00,2024-04-15 08:00:08,2024-04-15 08:11:08,690,23,stationary_only_without_sailing_task
4月15日08_00_4月15日17_00,2024-04-15 08:17:38,2024-04-15 10:48:38,9090,303,quality_cut_without_natural_transition
4月15日08_00_4月15日17_00,2024-04-15 10:49:08,2024-04-15 10:49:08,30,1,long_stop_dwell_core
4月15日08_00_4月15日17_00,2024-04-15 10:49:38,2024-04-15 13:37:38,10110,337,confirmed_shore
4月15日08_00_4月15日17_00,2024-04-15 13:38:08,2024-04-15 13:38:08,30,1,stationary_only_without_sailing_task
4月15日08_00_4月15日17_00,2024-04-15 13:44:38,2024-04-15 14:36:08,3120,104,confirmed_shore
4月15日08_00_4月15日17_00,2024-04-15 14:36:38,2024-04-15 14:36:38,30,1,stationary_only_without_sailing_task
4月15日08_00_4月15日17_00,2024-04-15 14:42:38,2024-04-15 15:14:38,1950,65,long_stop_dwell_core
4月15日08_00_4月15日17_00,2024-04-15 16:37:09,2024-04-15 16:45:39,540,18,long_stop_dwell_core
4月15日08_00_4月15日17_00,2024-04-15 16:46:09,2024-04-15 16:59:39,840,28,confirmed_shore
4月16日08_00_4月16日19_00,2024-04-16 08:00:10,2024-04-16 08:20:40,1260,42,stationary_only_without_sailing_task
4月16日08_00_4月16日19_00,2024-04-16 11:26:40,2024-04-16 11:26:40,30,1,unexplained_source_load_inconsistency
4月16日08_00_4月16日19_00,2024-04-16 11:27:10,2024-04-16 12:54:40,5280,176,confirmed_shore
4月16日08_00_4月16日19_00,2024-04-16 12:55:10,2024-04-16 12:56:40,120,4,stationary_only_without_sailing_task
4月16日08_00_4月16日19_00,2024-04-16 13:03:10,2024-04-16 14:21:40,4740,158,confirmed_shore
4月16日08_00_4月16日19_00,2024-04-16 14:22:10,2024-04-16 14:22:40,60,2,stationary_only_without_sailing_task
4月16日08_00_4月16日19_00,2024-04-16 14:29:40,2024-04-16 14:32:10,180,6,insufficient_continuous_operation_duration
4月16日08_00_4月16日19_00,2024-04-16 14:32:40,2024-04-16 15:10:10,2280,76,ambiguous_external_supply
4月16日08_00_4月16日19_00,2024-04-16 15:10:40,2024-04-16 16:57:10,6420,214,quality_cut_without_natural_transition
4月16日08_00_4月16日19_00,2024-04-16 16:57:40,2024-04-16 17:08:10,660,22,ambiguous_external_supply
