parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
4月21日08_00_4月21日16_00,2024-04-21 08:24:48,2024-04-21 08:28:18,240,False,True,False
4月21日08_00_4月21日16_00,2024-04-21 10:21:48,2024-04-21 10:30:48,570,True,True,True
4月21日08_00_4月21日16_00,2024-04-21 10:41:48,2024-04-21 13:12:18,9060,True,True,True
4月21日08_00_4月21日16_00,2024-04-21 15:12:18,2024-04-21 15:59:48,2880,True,False,False
4月22日14_00_4月22日17_00,2024-04-22 14:00:20,2024-04-22 14:01:20,90,False,False,False
4月22日14_00_4月22日17_00,2024-04-22 14:07:50,2024-04-22 14:26:20,1140,False,True,False
4月22日14_00_4月22日17_00,2024-04-22 16:45:50,2024-04-22 16:59:50,870,True,False,False
4月23日13_00_4月23日18_00,2024-04-23 13:05:22,2024-04-23 13:06:22,90,False,True,False
4月23日13_00_4月23日18_00,2024-04-23 13:11:22,2024-04-23 13:57:22,2790,True,True,True
4月23日13_00_4月23日18_00,2024-04-23 15:47:52,2024-04-23 15:58:52,690,True,True,True
4月23日13_00_4月23日18_00,2024-04-23 17:56:22,2024-04-23 17:59:52,240,True,False,False
4月24日07_00_4月24日17_00,2024-04-24 07:00:23,2024-04-24 07:23:53,1440,False,False,False
4月24日07_00_4月24日17_00,2024-04-24 07:30:23,2024-04-24 07:39:53,600,False,True,False
4月24日07_00_4月24日17_00,2024-04-24 07:47:53,2024-04-24 08:50:23,3780,True,True,True
4月24日07_00_4月24日17_00,2024-04-24 11:21:23,2024-04-24 11:45:24,1471,True,True,True
4月24日07_00_4月24日17_00,2024-04-24 12:04:24,2024-04-24 12:32:24,1710,True,True,True
4月24日07_00_4月24日17_00,2024-04-24 12:33:54,2024-04-24 12:33:54,30,True,True,True
4月24日07_00_4月24日17_00,2024-04-24 13:03:24,2024-04-24 14:22:54,4800,True,True,True
4月24日07_00_4月24日17_00,2024-04-24 16:21:24,2024-04-24 16:59:54,2340,True,False,False
4月25日08_00_4月25日18_00,2024-04-25 08:00:26,2024-04-25 08:44:56,2700,False,False,False
4月25日08_00_4月25日18_00,2024-04-25 08:51:26,2024-04-25 09:12:56,1320,False,True,False
4月25日08_00_4月25日18_00,2024-04-25 10:06:26,2024-04-25 10:29:56,1440,True,True,True
4月25日08_00_4月25日18_00,2024-04-25 12:00:26,2024-04-25 13:05:26,3930,True,True,True
4月25日08_00_4月25日18_00,2024-04-25 14:45:56,2024-04-25 14:48:56,210,True,True,True
4月25日08_00_4月25日18_00,2024-04-25 14:53:26,2024-04-25 14:59:56,420,True,False,False
4月25日08_00_4月25日18_00,2024-04-25 15:06:26,2024-04-25 15:32:26,1590,False,False,False
4月25日08_00_4月25日18_00,2024-04-25 16:39:27,2024-04-25 17:20:27,2490,True,False,False
4月25日08_00_4月25日18_00,2024-04-25 17:26:57,2024-04-25 17:59:57,2010,False,False,False
4月28日08_00_4月28日12_00,2024-04-28 08:00:04,2024-04-28 08:50:04,3030,False,False,False
