time,temp,GHI,GHI90,GHI10,collected
2021-04-12 19:20:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 19:30:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 19:40:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 19:50:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 20:00:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 20:10:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 20:20:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 20:30:00,1,0,0,0,2021-04-12 12:00:00
2021-04-12 20:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 20:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 21:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 22:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-12 23:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 00:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 01:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 02:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:40:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 03:50:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 04:00:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 04:10:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 04:20:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 04:30:00,0,0,0,0,2021-04-12 12:00:00
2021-04-13 04:40:00,0,9,16,1,2021-04-12 12:00:00
2021-04-13 04:50:00,0,9,16,1,2021-04-12 12:00:00
2021-04-13 05:00:00,0,9,16,1,2021-04-12 12:00:00
2021-04-13 05:10:00,0,35,61,8,2021-04-12 12:00:00
2021-04-13 05:20:00,0,35,61,8,2021-04-12 12:00:00
2021-04-13 05:30:00,0,35,61,8,2021-04-12 12:00:00
2021-04-13 05:40:00,1,80,132,30,2021-04-12 12:00:00
2021-04-13 05:50:00,1,80,132,30,2021-04-12 12:00:00
2021-04-13 06:00:00,1,80,132,30,2021-04-12 12:00:00
2021-04-13 06:10:00,1,144,209,66,2021-04-12 12:00:00
2021-04-13 06:20:00,1,144,209,66,2021-04-12 12:00:00
2021-04-13 06:30:00,1,144,209,66,2021-04-12 12:00:00
2021-04-13 06:40:00,2,216,279,108,2021-04-12 12:00:00
2021-04-13 06:50:00,2,216,279,108,2021-04-12 12:00:00
2021-04-13 07:00:00,2,216,279,108,2021-04-12 12:00:00
2021-04-13 07:10:00,3,284,348,144,2021-04-12 12:00:00
2021-04-13 07:20:00,3,284,348,144,2021-04-12 12:00:00
2021-04-13 07:30:00,3,284,348,144,2021-04-12 12:00:00
2021-04-13 07:40:00,4,339,414,169,2021-04-12 12:00:00
2021-04-13 07:50:00,4,339,414,169,2021-04-12 12:00:00
2021-04-13 08:00:00,4,339,414,169,2021-04-12 12:00:00
2021-04-13 08:10:00,4,383,475,182,2021-04-12 12:00:00
2021-04-13 08:20:00,4,383,475,182,2021-04-12 12:00:00
2021-04-12 13:30:00,3,268,442,150,2021-04-12 13:00:00
2021-04-12 13:40:00,3,229,378,152,2021-04-12 13:00:00
2021-04-12 13:50:00,3,229,378,152,2021-04-12 13:00:00
2021-04-12 14:00:00,3,229,378,152,2021-04-12 13:00:00
2021-04-12 14:10:00,3,189,293,107,2021-04-12 13:00:00
2021-04-12 14:20:00,3,189,293,107,2021-04-12 13:00:00
2021-04-12 14:30:00,3,189,293,107,2021-04-12 13:00:00
2021-04-12 14:40:00,3,130,210,65,2021-04-12 13:00:00
2021-04-12 14:50:00,3,130,210,65,2021-04-12 13:00:00
2021-04-12 15:00:00,3,130,210,65,2021-04-12 13:00:00
2021-04-12 15:10:00,3,87,149,33,2021-04-12 13:00:00
2021-04-12 15:20:00,3,87,149,33,2021-04-12 13:00:00
2021-04-12 15:30:00,3,87,149,33,2021-04-12 13:00:00
2021-04-12 15:40:00,2,54,104,15,2021-04-12 13:00:00
2021-04-12 15:50:00,2,54,104,15,2021-04-12 13:00:00
2021-04-12 16:00:00,2,54,104,15,2021-04-12 13:00:00
2021-04-12 16:10:00,2,44,85,12,2021-04-12 13:00:00
2021-04-12 16:20:00,2,44,85,12,2021-04-12 13:00:00
2021-04-12 16:30:00,2,44,85,12,2021-04-12 13:00:00
2021-04-12 16:40:00,2,33,62,8,2021-04-12 13:00:00
2021-04-12 16:50:00,2,33,62,8,2021-04-12 13:00:00
2021-04-12 17:00:00,2,33,62,8,2021-04-12 13:00:00
2021-04-12 17:10:00,2,20,39,4,2021-04-12 13:00:00
2021-04-12 17:20:00,2,20,39,4,2021-04-12 13:00:00
2021-04-12 17:30:00,2,20,39,4,2021-04-12 13:00:00
2021-04-12 17:40:00,1,9,17,2,2021-04-12 13:00:00
2021-04-12 17:50:00,1,9,17,2,2021-04-12 13:00:00
2021-04-12 18:00:00,1,9,17,2,2021-04-12 13:00:00
2021-04-12 18:10:00,1,1,1,0,2021-04-12 13:00:00
2021-04-12 18:20:00,1,1,1,0,2021-04-12 13:00:00
2021-04-12 18:30:00,1,1,1,0,2021-04-12 13:00:00
2021-04-12 18:40:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 18:50:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:00:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:10:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:20:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:30:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:40:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 19:50:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 20:00:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 20:10:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 20:20:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 20:30:00,1,0,0,0,2021-04-12 13:00:00
2021-04-12 20:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 20:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 21:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 22:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-12 23:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 00:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 01:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:00:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:10:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:20:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:30:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:40:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 02:50:00,0,0,0,0,2021-04-12 13:00:00
2021-04-13 03:00:00,0,0,0,0,2021-04-12 13:00:00
